Time,Open,High,Low,Last,Change,Volume,"Open Int"
04/06/2020,-0.566,-0.566,-0.566,-0.566,0.049,0,0
04/02/2020,-0.615,-0.615,-0.615,-0.615,-0.062,0,0
04/01/2020,-0.553,-0.553,-0.553,-0.553,-0.003,0,0
03/31/2020,-0.55,-0.55,-0.55,-0.55,-0.001,0,0
03/30/2020,-0.549,-0.549,-0.549,-0.549,0.164,0,0
03/26/2020,-0.713,-0.713,-0.713,-0.713,-0.03,0,0
03/25/2020,-0.683,-0.683,-0.683,-0.683,0.051,0,0
03/24/2020,-0.734,-0.734,-0.734,-0.734,0.057,0,0
03/23/2020,-0.791,-0.791,-0.791,-0.791,0.159,0,0
03/19/2020,-0.95,-0.95,-0.95,-0.95,-0.01,0,0
03/18/2020,-0.94,-0.94,-0.94,-0.94,-0.074,0,0
03/17/2020,-0.866,-0.866,-0.866,-0.866,0.086,0,0
03/16/2020,-0.952,-0.952,-0.952,-0.952,0.162,0,0
03/12/2020,-1.114,-1.114,-1.114,-1.114,-0.05,0,0
03/11/2020,-1.064,-1.064,-1.064,-1.064,-0.034,0,0
03/10/2020,-1.03,-1.03,-1.03,-1.03,0.114,0,0
03/09/2020,-1.144,-1.144,-1.144,-1.144,-0.045,0,0
03/05/2020,-1.099,-1.099,-1.099,-1.099,-0.006,0,0
03/04/2020,-1.093,-1.093,-1.093,-1.093,0.072,0,0
03/03/2020,-1.165,-1.165,-1.165,-1.165,-0.048,0,0
03/02/2020,-1.117,-1.117,-1.117,-1.117,-0.069,0,0
02/27/2020,-1.048,-1.048,-1.048,-1.048,-0.057,0,0
02/26/2020,-0.991,-0.991,-0.991,-0.991,0.025,0,0
02/24/2020,-1.016,-1.016,-1.016,-1.016,0.076,0,0
02/20/2020,-1.092,-1.092,-1.092,-1.092,0.089,0,0
02/19/2020,-1.181,-1.181,-1.181,-1.181,0.046,0,0
02/18/2020,-1.227,-1.227,-1.227,-1.227,-0.107,0,0
02/13/2020,-1.12,-1.12,-1.12,-1.12,-0.063,0,0
02/11/2020,-1.057,-1.057,-1.057,-1.057,0.006,0,0
02/10/2020,-1.063,-1.063,-1.063,-1.063,0.061,0,0
02/06/2020,-1.124,-1.124,-1.124,-1.124,0.05,0,0
02/05/2020,-1.174,-1.174,-1.174,-1.174,0.031,0,0
02/04/2020,-1.205,-1.205,-1.205,-1.205,-0.053,0,0
02/03/2020,-1.152,-1.152,-1.152,-1.152,0.077,0,0
01/30/2020,-1.229,-1.229,-1.229,-1.229,0.194,0,0
01/28/2020,-1.423,-1.423,-1.423,-1.423,-0.148,0,0
01/23/2020,-1.275,-1.275,-1.275,-1.275,0.034,0,0
01/22/2020,-1.309,-1.309,-1.309,-1.309,0.116,0,0
01/21/2020,-1.425,-1.425,-1.425,-1.425,-0.082,0,0
01/16/2020,-1.343,-1.343,-1.343,-1.343,0.055,0,0
01/15/2020,-1.398,-1.398,-1.398,-1.398,-0.033,0,0
01/14/2020,-1.365,-1.365,-1.365,-1.365,0.238,0,0
01/13/2020,-1.603,-1.603,-1.603,-1.603,0.015,0,0
01/08/2020,-1.618,-1.618,-1.618,-1.618,-0.032,0,0
01/07/2020,-1.586,-1.586,-1.586,-1.586,0.153,0,0
01/06/2020,-1.739,-1.739,-1.739,-1.739,-0.165,0,0
01/02/2020,-1.574,-1.574,-1.574,-1.574,-0.019,0,0
12/31/2019,-1.555,-1.555,-1.555,-1.555,0.082,0,0
12/30/2019,-1.637,-1.637,-1.637,-1.637,0.112,0,0
12/26/2019,-1.749,-1.749,-1.749,-1.749,0.038,0,0
12/24/2019,-1.787,-1.787,-1.787,-1.787,0.131,0,0
12/23/2019,-1.918,-1.918,-1.918,-1.918,0.384,0,0
12/18/2019,-2.302,-2.302,-2.302,-2.302,-0.267,0,0
12/16/2019,-2.035,-2.035,-2.035,-2.035,0.04,0,0
12/11/2019,-2.075,-2.075,-2.075,-2.075,0.123,0,0
12/10/2019,-2.198,-2.198,-2.198,-2.198,0.058,0,0
12/09/2019,-2.256,-2.256,-2.256,-2.256,0.261,0,0
12/04/2019,-2.517,-2.517,-2.517,-2.517,-0.02,0,0
12/03/2019,-2.497,-2.497,-2.497,-2.497,0.073,0,0
12/02/2019,-2.57,-2.57,-2.57,-2.57,0.109,0,0
11/26/2019,-2.679,-2.679,-2.679,-2.679,0.099,0,0
11/25/2019,-2.778,-2.778,-2.778,-2.778,-0.094,0,0
11/21/2019,-2.684,-2.684,-2.684,-2.684,-0.043,0,0
11/20/2019,-2.641,-2.641,-2.641,-2.641,-0.047,0,0
11/19/2019,-2.594,-2.594,-2.594,-2.594,-0.055,0,0
11/18/2019,-2.539,-2.539,-2.539,-2.539,0.023,0,0
