Trading Day,Prediction Type,Price
2020-02-15,WE,9.403
2020-02-16,WE,9.403
2020-02-17,DA,9.44
2020-02-18,DA,9.735
2020-02-19,DA,10.223
2020-02-20,DA,10.302
2020-02-21,DA,10.267
2020-02-22,WE,9.83
2020-02-23,WE,9.83
2020-02-24,DA,9.969
2020-02-25,DA,9.653
2020-02-26,DA,9.816
2020-02-27,DA,9.71
2020-02-28,DA,9.577
2020-02-29,WE,9.383
2020-03-02,DA,9.705
2020-03-03,DA,10.001
2020-03-04,DA,10.172
2020-03-05,DA,9.889
2020-03-06,DA,9.928
2020-03-07,WE,9.263
2020-03-08,WE,9.263
2020-03-09,DA,9.348
2020-03-10,DA,9.352
2020-03-11,DA,9.464
2020-03-12,DA,9.695
2020-03-13,DA,9.729
2020-03-14,WE,9.551
2020-03-15,WE,9.551
2020-03-16,DA,9.835
2020-03-17,DA,8.859
2020-03-18,DA,8.529
2020-03-19,DA,8.623
2020-03-20,DA,9.028
2020-03-21,WE,8.834
2020-03-22,WE,8.834
2020-03-23,DA,8.87
2020-03-24,DA,8.716
2020-03-25,DA,8.609
2020-03-26,DA,8.447
2020-03-27,DA,8.214
2020-03-28,WE,7.916
2020-03-29,WE,7.916
2020-03-30,DA,7.961
2020-03-31,DA,7.814
2020-04-01,DA,7.987
