Trading Day,Prediction Type,Price
2020-02-15,WE,9.402999999999999
2020-02-16,WE,9.402999999999999
2020-02-17,DA,9.44
2020-02-18,DA,9.735
2020-02-19,DA,10.222999999999999
2020-02-20,DA,10.302
2020-02-21,DA,10.267000000000001
2020-02-22,WE,9.83
2020-02-23,WE,9.83
2020-02-24,DA,9.969
2020-02-25,DA,9.652999999999999
2020-02-26,DA,9.816
2020-02-27,DA,9.71
2020-02-28,DA,9.577
2020-02-29,WE,9.383
2020-03-02,DA,9.705
2020-03-03,DA,10.001
2020-03-04,DA,10.172
2020-03-05,DA,9.889
2020-03-06,DA,9.927999999999999
2020-03-07,WE,9.263
2020-03-08,WE,9.263
2020-03-09,DA,9.347999999999999
2020-03-10,DA,9.352
2020-03-11,DA,9.464
2020-03-12,DA,9.695
2020-03-13,DA,9.729
2020-03-14,WE,9.551
2020-03-15,WE,9.551
2020-03-16,DA,9.835
2020-03-17,DA,8.859
2020-03-18,DA,8.529
2020-03-19,DA,8.623
2020-03-20,DA,9.027999999999999
2020-03-21,WE,8.834
2020-03-22,WE,8.834
2020-03-23,DA,8.87
2020-03-24,DA,8.716000000000001
2020-03-25,DA,8.609
2020-03-26,DA,8.447000000000001
2020-03-27,DA,8.214
2020-03-28,WE,7.916
2020-03-29,WE,7.916
2020-03-30,DA,7.961
2020-03-31,DA,7.814
2020-04-01,DA,7.987
2020-04-02,DA,7.633
2020-04-03,DA,7.64
2020-04-04,WE,7.639
2020-04-05,WE,7.639
2020-04-06,DA,7.55
2020-04-07,DA,7.674
2020-04-08,DA,7.935
2020-04-09,DA,7.63
2020-04-10,WE,7.37
2020-04-13,WE,7.37
2020-04-14,DA,7.575
2020-04-15,DA,7.65
2020-04-16,DA,7.398
2020-04-17,DA,7.423
2020-04-18,WE,6.882
2020-04-19,WE,6.882
2020-04-20,DA,6.974
2020-04-21,DA,6.774
2020-04-22,DA,6.453
2020-04-23,DA,6.658
2020-04-24,DA,6.101
2020-04-25,WE,5.995
2020-04-26,WE,5.995
2020-04-27,DA,6.168
2020-04-28,DA,6.48
