Trading Day,Prediction Type,Price
2020-02-15,WE,10.057
2020-02-16,WE,10.057
2020-02-17,DA,10.18
2020-02-18,DA,10.083
2020-02-19,DA,10.731
2020-02-20,DA,10.465
2020-02-21,DA,10.585
2020-02-22,WE,10.3
2020-02-23,WE,10.3
2020-02-24,DA,10.25
2020-02-25,DA,9.982
2020-02-26,DA,9.82
2020-02-27,DA,9.794
2020-02-28,DA,9.879
2020-02-29,WE,9.836
2020-03-02,DA,10.06
2020-03-03,DA,10.25
2020-03-04,DA,10.4
2020-03-05,DA,10.05
2020-03-06,DA,9.95
2020-03-07,WE,9.2
2020-03-08,WE,9.2
2020-03-09,DA,9.5
2020-03-10,DA,9.5
2020-03-11,DA,9.6
2020-03-12,DA,9.975
2020-03-13,DA,10.124
2020-03-14,WE,9.856
2020-03-15,WE,9.856
2020-03-16,DA,9.883
2020-03-17,DA,9.198
2020-03-18,DA,8.969
2020-03-19,DA,8.985
2020-03-20,DA,9.209
2020-03-21,WE,9.2
2020-03-22,WE,9.2
2020-03-23,DA,9.35
2020-03-24,DA,8.7
2020-03-25,DA,8.82
2020-03-26,DA,8.43
2020-03-27,DA,8.125
2020-03-28,WE,7.7
2020-03-29,WE,7.7
2020-03-30,DA,7.95
2020-03-31,DA,7.85
2020-04-01,DA,8.131
