Trading Day,Prediction Type,Price
2020-02-15,WE,9.47
2020-02-16,WE,9.47
2020-02-17,DA,9.75
2020-02-18,DA,9.9
2020-02-19,DA,10.025
2020-02-20,DA,10.99
2020-02-21,DA,11.0
2020-02-22,WE,11.0
2020-02-23,WE,11.0
2020-02-24,DA,11.0
2020-02-25,DA,10.14
2020-02-26,DA,10.15
2020-02-27,DA,9.1
2020-02-28,DA,9.025
2020-02-29,WE,8.66
2020-03-02,DA,8.88
2020-03-03,DA,8.3
2020-03-04,DA,8.66
2020-03-05,DA,8.8
2020-03-06,DA,8.65
2020-03-07,WE,8.5
2020-03-08,WE,8.5
2020-03-09,DA,8.75
2020-03-10,DA,9.3
2020-03-11,DA,9.2
2020-03-12,DA,9.2
2020-03-13,DA,9.2
2020-03-14,WE,8.7
2020-03-15,WE,8.7
2020-03-16,DA,8.8
2020-03-17,DA,9.5
2020-03-18,DA,9.75
2020-03-19,DA,9.25
2020-03-20,DA,8.7
2020-03-21,WE,7.84
2020-03-22,WE,7.84
2020-03-23,DA,8.0
2020-03-24,DA,8.4
2020-03-25,DA,8.7
2020-03-26,DA,8.35
2020-03-27,DA,7.49
2020-03-28,WE,7.05
2020-03-29,WE,7.05
2020-03-30,DA,7.24
2020-03-31,DA,7.35
2020-04-01,DA,7.25
