Trading Day,Month+1,Month+2,Month+3,Month+4,Quarter+1,Quarter+2,Quarter+3,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2
2020-03-16,23.35,23.45,23.853,,23.55,23.948,31.784000000000002,9.378,13.139000000000001,13.049000000000001,16.769000000000002,14.165,15.675
2020-03-17,22.75,22.826999999999998,23.429000000000002,,23.0,23.6,31.95,9.134,12.94,12.843,16.615,13.927,15.462
2020-03-18,21.680999999999997,21.651,22.416999999999998,,21.913,22.404,30.769000000000002,9.032,12.545,12.409,16.182000000000002,13.545,15.142999999999999
2020-03-19,22.599,22.371,23.334,,22.764,23.233,31.73,9.244,12.614,12.402000000000001,16.261,12.85,15.1
2020-03-20,22.124000000000002,21.781999999999996,22.910999999999998,,22.267,22.816,30.892,9.146,12.588,12.189,15.537,13.102,14.793
2020-03-23,20.951,20.761,21.61,,21.104,21.733,29.968000000000004,8.647,12.311,12.0,15.4,13.027999999999999,14.9
2020-03-24,21.6,21.1,21.662,,21.45,22.246,30.706999999999997,8.756,12.597999999999999,12.36,16.11,13.07,15.315999999999999
2020-03-25,21.245,20.936,21.63,,21.267,22.401,31.365,8.7,12.780999999999999,12.564,16.1,13.380999999999998,15.463
2020-03-26,20.506999999999998,20.328,21.037,,20.621,22.072,30.166,8.49,12.573,11.704,16.122,12.902999999999999,15.562000000000001
2020-03-27,17.9,18.1,19.908,,18.63,20.905,28.145,8.19,12.355,11.949000000000002,15.950999999999999,12.904000000000002,15.267000000000001
2020-03-30,17.48,17.67,17.899,20.406,19.01,28.166999999999998,30.269000000000002,12.085,11.818,15.5,14.745,12.556,15.104000000000001
2020-03-31,16.6,18.059,20.78,,19.54,28.378,30.451,12.222999999999999,11.710999999999999,15.58,14.84,12.708,15.283
2020-04-01,16.6,17.722,20.244,,19.209,28.127,30.474,12.251,11.81,15.71,14.94,12.715,15.234000000000002
2020-04-02,17.225,18.477999999999998,21.085,,19.726,29.131,31.145,12.475999999999999,12.074000000000002,15.877,15.005,13.027000000000001,15.5
2020-04-03,16.75,17.75,20.357,,20.283,29.781999999999996,32.150999999999996,12.682,12.219000000000001,16.06,15.183,13.157,15.575999999999999
2020-04-06,17.33,18.26,21.316999999999997,,21.403000000000002,32.439,34.729,13.220999999999998,12.808,16.604,15.55,13.717,15.94
2020-04-07,17.6,18.4,21.893,,21.885,33.099000000000004,35.478,13.296,12.765999999999998,16.647000000000002,15.595999999999998,13.714,16.084
2020-04-08,17.067,17.757,21.076,,20.991999999999997,32.42,34.865,13.179,12.696,16.512,15.5,13.591,15.97
2020-04-09,17.553,18.182000000000002,21.673000000000002,,21.467,32.902,35.711,13.255999999999998,12.774000000000001,16.64,15.578,13.675,16.03
2020-04-14,16.65,17.15,20.073,,20.55,31.143,33.746,12.982000000000001,12.628,16.480999999999998,15.283,13.505,15.772
2020-04-15,15.95,16.55,17.51,,19.171,31.784000000000002,34.574,12.741,12.355,16.214000000000002,15.107000000000001,13.203,15.501
2020-04-16,16.75,17.3,18.01,,20.46,33.501,36.402,13.08,12.674000000000001,16.445999999999998,15.285,13.583,15.827
2020-04-17,17.0,17.6,18.804000000000002,,19.7,30.15,34.8,13.435,12.937000000000001,16.642,15.520999999999999,13.825999999999999,15.987
2020-04-20,16.0,17.5,17.9,,19.9,30.7,35.25,13.257,12.818,16.534000000000002,15.389000000000001,13.694,15.867
2020-04-21,15.040999999999999,16.518,16.835,,19.061,29.153000000000002,33.591,12.892000000000001,12.485999999999999,16.15,15.013,13.350999999999999,15.475
2020-04-22,15.533,16.239,16.515,,18.474,28.489,32.709,12.786,12.34,15.949000000000002,14.793,13.167,15.222000000000001
2020-04-23,15.0,15.9,15.675,,17.764,27.735,31.95,12.625,12.253,15.901,14.81,13.073,15.327
2020-04-24,13.607999999999999,14.675999999999998,14.35,,16.963,27.497,31.739,12.482999999999999,12.134,15.812000000000001,14.867,12.99,15.335999999999999
2020-04-27,13.8,14.75,14.572000000000001,,16.875999999999998,26.846999999999998,31.031,12.384,12.064,15.708,14.595999999999998,12.895,15.035
2020-04-28,13.95,14.9,15.568,,17.249000000000002,26.915,31.026999999999997,12.12,11.992,15.720999999999998,14.657,12.6,15.091
