Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2,Calendar+3
2020-03-16,8.975,8.878,9.091000000000001,9.6,,8.98,9.37,12.898,13.710999999999999,23.398000000000003,35.25,31.2,39.95,34.44,37.510999999999996,40.554
2020-03-17,8.661,8.738,8.769,8.93,,8.722999999999999,9.004,12.072000000000001,13.187999999999999,22.938000000000002,34.5,30.7,39.51,33.91,36.583,39.459
2020-03-18,8.46,8.554,8.587,8.748,,8.533999999999999,8.839,11.812999999999999,12.748,22.55,33.85,29.91,38.85,33.35,34.719,37.431999999999995
2020-03-19,8.72,8.788,8.894,8.984,,8.801,8.996,11.812000000000001,12.797,23.3,34.22,30.0,39.1,33.43,34.906,37.742
2020-03-20,8.561,8.596,8.616,8.82,,8.591000000000001,8.853,11.652000000000001,12.972999999999999,22.53,33.75,29.85,39.1,33.19,35.228,38.123000000000005
2020-03-23,8.113999999999999,8.121,8.241,8.354,,8.158,8.423,11.422,12.655999999999999,21.84,33.632,29.68,39.2,33.16,34.891999999999996,37.687
2020-03-24,8.218,8.203,8.385,8.422,,8.269,8.609,11.544,13.052999999999999,21.7,33.8,30.3,39.72,33.63,36.266,39.243
2020-03-25,7.974,8.065,8.123,8.397,,8.054,8.521,11.772,13.154000000000002,21.45,34.6,31.01,40.5,34.34,37.531,40.629
2020-03-26,7.941,7.88,7.997999999999999,8.269,,7.939,8.426,11.647,13.071,20.58,33.68,30.3,40.1,33.75,36.898,40.098
2020-03-27,7.56,7.544,7.667000000000001,7.933,,7.587999999999999,7.97,11.366,12.732000000000001,19.462,32.47,29.25,39.0,32.56,35.345,38.367
2020-03-30,7.27,7.307,7.506,7.619,7.702999999999999,7.797999999999999,11.005,12.494000000000002,11.437999999999999,31.3,28.35,38.15,33.3,31.48,34.034,36.861
2020-03-31,7.372000000000001,7.599,7.641,7.74,,7.824,11.136,12.686,11.786,31.6,28.7,38.44,33.6,31.95,34.83,37.775
2020-04-01,7.294,7.485,7.5920000000000005,7.725,,7.797000000000001,11.091,12.71,11.68,31.55,28.2,38.05,33.6,31.75,34.435,37.336
2020-04-02,7.428,7.591,7.675,7.85,,7.978,11.25,13.071,12.189,32.2,28.7,38.53,33.68,32.15,35.177,38.111999999999995
2020-04-03,7.379,7.599,7.776,7.922000000000001,,8.019,11.550999999999998,13.052,12.099,32.7,29.57,39.0,34.15,32.65,35.995,38.94
2020-04-06,7.779,7.912999999999999,8.149,8.395,,8.456,11.95,13.827,12.955,34.1,31.0,40.1,34.9,34.0,38.541,41.669
2020-04-07,7.752000000000001,7.956,8.179,8.455,,8.494,12.082,13.737,12.705,34.35,31.35,40.65,35.6,34.75,40.048,43.31399999999999
2020-04-08,7.648,7.836,8.129,8.349,,8.443,12.022,13.572000000000001,12.492,33.7,30.6,40.2,35.1,34.0,39.313,42.537
2020-04-09,7.645,7.892,8.177,8.361,,8.448,12.056,13.749,12.787,34.1,30.7,40.5,35.0,34.32,40.17,43.50899999999999
2020-04-14,7.537999999999999,7.582999999999999,7.749,8.042,,8.183,12.06,13.468,12.43,32.8,30.12,39.7,34.1,33.34,38.496,41.661
2020-04-15,7.112,7.332000000000001,7.476,7.794,,7.846,11.624,13.139000000000001,12.048,31.894000000000002,29.28,39.0,33.42,32.65,37.143,40.586
2020-04-16,7.403,7.564,7.815,8.051,,8.117,11.984000000000002,13.56,12.585,33.0,30.2,39.6,34.15,33.42,38.506,42.288999999999994
2020-04-17,7.468,7.697,7.831,8.18,,8.279,12.347999999999999,13.905999999999999,12.876,34.0,30.7,40.45,34.5,34.18,39.975,43.908
2020-04-20,7.074,7.392,7.71,7.986000000000001,,8.128,12.155999999999999,13.718,12.649000000000001,33.85,30.75,40.15,34.35,34.02,39.6,43.273999999999994
2020-04-21,6.781000000000001,7.06,7.369,7.655,,7.773,11.905999999999999,13.359000000000002,12.409,33.2,30.1,39.4,33.75,33.32,37.603,41.113
2020-04-22,6.678,7.018,7.2379999999999995,7.55,,7.64,11.735999999999999,13.189,12.168,32.9,29.6,38.95,32.9,32.84,36.385,39.907
2020-04-23,6.51,6.777,7.067,7.318,,7.473,11.569,13.038,12.061,32.15,29.15,38.46,32.68,32.27,35.863,39.314
2020-04-24,6.17,6.513999999999999,6.603,6.986000000000001,,7.1739999999999995,11.382,12.865,11.811,32.1,28.87,38.5,32.7,32.3,36.75,39.759
2020-04-27,6.297000000000001,6.5489999999999995,6.672999999999999,7.0489999999999995,,7.2410000000000005,11.282,12.815999999999999,11.770999999999999,31.75,28.58,37.95,32.3,31.9,35.686,38.714
2020-04-28,6.5489999999999995,6.8,6.905,7.221,,7.435,11.269,12.716,11.739,31.75,28.6,38.0,32.65,31.8,35.734,38.756
