Trading Day,Month+1,Month+2,Month+3,Month+4,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2,Calendar+3,Calendar+4
2020-03-16,10.300999999999998,10.683,10.806,,10.6,10.9,13.857000000000001,14.854000000000001,8.857999999999999,12.867,12.147,14.242,13.05,14.445,15.446,15.786
2020-03-17,9.959,10.350999999999999,10.470999999999998,,10.261,10.610999999999999,13.29,14.392000000000001,8.714,12.35,12.125,14.536,12.841,14.328,15.288,15.604000000000001
2020-03-18,9.493,9.89,10.023,,9.802999999999999,10.186,13.002,13.982000000000001,8.512,12.0,11.759,14.125,12.425,13.889000000000001,14.888,15.203
2020-03-19,10.068999999999999,10.325,10.589,,10.328,10.585,12.985999999999999,13.931,8.697000000000001,12.072000000000001,11.770999999999999,14.167,12.465,13.944,14.962,15.220999999999998
2020-03-20,9.856,10.196,10.380999999999998,,10.145,10.479000000000001,13.0,14.054,8.485,12.082,11.929,14.383,12.55,14.142999999999999,15.079,15.39
2020-03-23,9.406,9.554,9.869,,9.609,9.94,12.741,13.625,7.999,11.807,11.604000000000001,14.152999999999999,12.364,14.058,15.082,15.333
2020-03-24,9.443999999999999,9.536,9.736,,9.572000000000001,9.886000000000001,12.859000000000002,13.974,8.101,12.1,12.097999999999999,14.613,12.675999999999998,14.413,15.366,15.695
2020-03-25,9.147,9.376,9.607999999999999,,9.377,9.829,13.082,14.234000000000002,7.954,12.225,12.234000000000002,14.729000000000001,12.85,14.624,15.607999999999999,15.907
2020-03-26,9.12,9.237,9.517999999999999,,9.291,9.753,13.04,13.962,7.854,12.15,12.033,14.754000000000001,12.784,14.628,15.589,15.915
2020-03-27,8.72,8.862,9.142000000000001,,8.907,9.41,12.6,13.57,7.505,11.85,11.735,14.533,12.533,14.515,15.457,15.772
2020-03-30,8.38,8.47,8.836,8.976,9.027999999999999,12.432,13.405999999999999,,11.493,11.384,14.318,13.597000000000001,12.25,14.209000000000001,15.38,15.667
2020-03-31,8.562000000000001,8.871,9.01,,9.19,12.585999999999999,13.522,,11.757,11.664000000000001,14.517000000000001,13.577,12.43,14.34,15.625,15.887
2020-04-01,8.65,8.83,8.942,,9.322000000000001,12.619000000000002,13.727,,11.767000000000001,11.614,14.509,13.559000000000001,12.385,14.342,15.542,15.914000000000001
2020-04-02,8.675,8.885,9.083,,9.326,12.802999999999999,13.875,,12.0,11.962,14.675,13.769,12.65,14.626,15.589,16.067
2020-04-03,8.711,8.95,9.152000000000001,,9.437000000000001,12.988,14.122,,12.145999999999999,11.985999999999999,14.845999999999998,13.842,12.809000000000001,14.614,15.73,16.13
2020-04-06,9.096,9.277000000000001,9.488,,9.924,13.517999999999999,14.696,,12.709000000000001,12.62,15.295,14.181,13.287,14.992,16.133,16.56
2020-04-07,9.023,9.338,9.519,,9.982000000000001,13.648,14.690999999999999,,12.757,12.564,15.36,14.165,13.329,15.147,16.233,16.612000000000002
2020-04-08,9.022,9.272,9.484,,9.885,13.51,14.604000000000001,,12.622,12.411,15.214,14.106,13.255999999999998,15.069,16.224,16.567999999999998
2020-04-09,9.043,9.293,9.522,,9.984,13.575999999999999,14.697000000000001,,12.72,12.462,15.342,14.18,13.26,15.095999999999998,16.309,16.683
2020-04-14,8.675,9.014,9.182,,9.564,13.217,14.364,,12.39,12.283,15.215,13.915,13.130999999999998,15.025,16.096,16.442999999999998
2020-04-15,8.457,8.667,8.844,,9.301,13.043,14.149000000000001,,12.1,12.015,14.955,13.672,12.860999999999999,14.594000000000001,15.777999999999999,15.975
2020-04-16,8.685,8.967,9.14,,9.69,13.392000000000001,14.463,,12.519,12.532,15.200999999999999,13.9,13.207,14.81,15.956,15.913
2020-04-17,8.818999999999999,9.137,9.245,,9.775,13.725999999999999,14.818,,12.902999999999999,12.64,15.392000000000001,14.135,13.415999999999999,15.15,16.117,16.325
2020-04-20,8.652000000000001,8.997,9.422,,9.559,13.464,14.75,,12.622,12.597000000000001,15.2,13.993,13.35,14.898,16.175,16.211
2020-04-21,8.15,8.543,8.852,,9.265,13.165,14.308,,12.317,12.229000000000001,14.874,13.624,12.974,14.522,15.815,15.808
2020-04-22,8.089,8.5,8.806000000000001,,9.139,13.055,14.203,,12.222000000000001,12.03,14.636,13.4,12.767999999999999,14.228,15.524000000000001,15.512
2020-04-23,7.914,8.347000000000001,8.64,,8.972000000000001,12.885,14.058,,12.040999999999999,11.992,14.626,13.477,12.741,14.36,15.534,15.745999999999999
2020-04-24,7.597,8.08,8.338,,8.668,12.731,13.925,,11.850999999999999,11.821,14.535,13.48,12.604000000000001,14.264000000000001,15.588,15.69
2020-04-27,7.752000000000001,8.049,8.36,,8.722999999999999,12.629000000000001,13.829,,11.828,11.714,14.479000000000001,13.245999999999999,12.512,14.116,15.362,15.514000000000001
2020-04-28,8.09,8.335,8.565,,8.917,12.640999999999998,13.754000000000001,,11.758,11.687999999999999,14.460999999999999,13.299000000000001,12.452,14.175999999999998,15.282,15.499
