Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Calendar+1
2020-03-16,8.741,8.734,8.826,8.857000000000001,8.907,8.767000000000001,9.055,11.892999999999999,13.105,23.75,31.162,32.3,32.878
2020-03-17,8.482000000000001,8.499,8.582,8.622,8.658,8.519,8.801,11.515,12.749,23.302,33.9,30.826999999999998,32.065
2020-03-18,8.257,8.312000000000001,8.395,8.47,8.507,8.321,8.651,11.216,12.376,22.16,32.024,29.135,30.430999999999997
2020-03-19,8.559,8.543,8.645,8.699,8.724,8.583,8.859,11.276,12.429,23.0,32.507,29.623,30.595
2020-03-20,8.306000000000001,8.286,8.412,8.512,8.515,8.334,8.661,11.238,12.492,22.543000000000003,32.486,29.475,30.918000000000003
2020-03-23,7.831,7.848,8.047,8.04,8.127,7.9079999999999995,8.241,10.917,12.258,21.42,31.389,28.43,30.671
2020-03-24,7.91,7.91,8.121,8.126,8.274,7.98,8.369,11.195,12.552999999999999,21.85,32.715,30.8,31.892
2020-03-25,7.737,7.765,7.962999999999999,8.082,8.156,7.8229999999999995,8.282,11.350999999999999,12.661,21.837,33.454,31.551,33.039
2020-03-26,7.591,7.611000000000001,7.854,7.968,8.088,7.685,8.205,11.267999999999999,12.644,21.35,32.536,31.75,32.532
2020-03-27,7.22,7.24,7.499,7.574,7.729,7.317,7.84,10.982999999999999,12.318,19.774,30.947,30.073,31.177
2020-03-30,6.89,6.8660000000000005,7.169,7.307,7.426,7.527,10.66,12.103,11.177999999999999,29.206,28.518,29.15,29.846
2020-03-31,6.902,7.188,7.362,7.513,8.035,7.632000000000001,10.865,12.239,11.296,29.403000000000002,29.55,29.57,30.596
2020-04-01,6.821000000000001,7.08,7.284,7.474,7.968,7.572,10.845999999999998,12.25,11.264000000000001,29.288,29.269000000000002,29.318,30.236
2020-04-02,6.97,7.204,7.434,7.617999999999999,8.174,7.737,11.127,12.519,11.61,30.127,30.017,30.041999999999998,30.945999999999998
2020-04-03,6.932,7.199,7.468999999999999,7.675,8.152000000000001,7.761,11.222999999999999,12.690999999999999,11.689,30.953000000000003,30.875,37.5,31.659000000000002
2020-04-06,7.2829999999999995,7.571000000000001,7.851,8.142999999999999,8.652999999999999,8.211,11.720999999999998,13.277000000000001,12.286,33.571,31.63,39.25,33.009
2020-04-07,7.291,7.615,7.861000000000001,8.184,8.693,8.241,11.808,13.280999999999999,12.273,34.275,31.7,39.3,34.179
2020-04-08,7.3020000000000005,7.591,7.801,8.082,8.612,8.16,11.702,13.132,12.130999999999998,33.629,31.105,38.563,33.467
2020-04-09,7.289,7.602,7.907,8.158,8.732999999999999,8.261000000000001,11.751,13.258,12.227,34.291,31.774,39.457,34.287
2020-04-14,6.893,7.184,7.473,7.811,8.35,7.872999999999999,11.442,13.005999999999998,12.071,32.43,30.75,38.6,32.884
2020-04-15,6.647,6.88,7.1739999999999995,7.5329999999999995,8.051,7.581,11.269,12.709000000000001,11.79,33.164,30.55,37.141,31.526999999999997
2020-04-16,6.933,7.193,7.507999999999999,7.816,8.451,7.919,11.624,13.077,12.122,34.936,31.851999999999997,38.847,32.684
2020-04-17,7.007000000000001,7.337000000000001,7.579,7.928999999999999,8.562999999999999,8.017999999999999,11.942,13.447000000000001,12.375,32.449,31.45,39.1,33.944
2020-04-20,6.629,7.035,7.388,7.745,8.371,7.829,11.735999999999999,13.284,12.289000000000001,32.95,31.85,39.35,33.562
2020-04-21,6.318,6.718999999999999,7.096,7.454,8.076,7.5360000000000005,11.421,12.914000000000001,11.967,31.348000000000003,30.338,37.49,31.901
2020-04-22,6.233,6.617999999999999,6.9639999999999995,7.329,7.879,7.388,11.322000000000001,12.758,11.767000000000001,30.576,29.545,36.563,30.785999999999998
2020-04-23,6.062,6.442,6.8,7.121,7.766,7.223,11.177,12.593,11.672,29.819000000000003,29.095,36.343,30.265
2020-04-24,5.773,6.1770000000000005,6.516,6.84,7.43,6.922999999999999,10.964,12.453,11.527999999999999,29.595,28.916999999999998,35.973,30.154
2020-04-27,5.885,6.186,6.577000000000001,6.9,7.5120000000000005,6.9910000000000005,10.859000000000002,12.382,11.439,28.916,28.206999999999997,37.24,29.307
2020-04-28,6.14,6.437,6.782,7.07,7.696000000000001,7.1770000000000005,10.908,12.274000000000001,11.354000000000001,28.948,28.268,37.288000000000004,29.334
