Trading Day,Prediction Type,Price
2020-03-14,WE,9.864
2020-03-15,WE,9.864
2020-03-16,DA,9.921
2020-03-17,DA,9.16
2020-03-18,DA,8.885
2020-03-19,DA,8.768
2020-03-20,DA,8.984
2020-03-21,WE,8.7
2020-03-22,WE,8.7
2020-03-23,DA,8.761
2020-03-24,DA,8.388
2020-03-25,DA,8.55
2020-03-26,DA,8.365
2020-03-27,DA,8.207
2020-03-28,WE,7.792
2020-03-29,WE,7.792
2020-03-30,DA,7.892
2020-03-31,DA,7.624
2020-04-01,DA,7.841
2020-04-02,DA,7.637
2020-04-03,DA,7.587
2020-04-04,WE,7.464
2020-04-05,WE,7.464
2020-04-06,DA,7.4
2020-04-07,DA,7.638
2020-04-08,DA,8.075
2020-04-09,DA,7.625
2020-04-10,WE,7.6
2020-04-13,WE,7.6
2020-04-14,DA,7.813
2020-04-15,DA,7.5
2020-04-16,DA,7.449
2020-04-17,DA,7.525
2020-04-18,WE,7.647
2020-04-19,WE,7.647
2020-04-20,DA,7.55
2020-04-21,DA,7.425
2020-04-22,DA,6.959
2020-04-23,DA,7.0
2020-04-24,DA,6.688
2020-04-25,WE,6.622
2020-04-26,WE,6.622
2020-04-27,DA,6.85
2020-04-28,DA,6.594
