Trading Day,Month+1,Month+2,Quarter+3,Quarter+4
2020-02-17,10.73,,,16.567
2020-02-18,10.79,,,16.361
2020-02-19,10.95,,,16.108
2020-02-20,10.98,,,15.96
2020-02-21,10.79,,,15.728
2020-02-24,10.44,,,15.168
2020-02-25,10.38,,,15.048
2020-02-26,10.54,,,15.06
2020-02-27,10.34,,,14.707
2020-02-28,10.28,,,14.761
2020-03-02,10.3,,,14.815
2020-03-03,10.59,,,15.355
2020-03-04,10.33,,,15.288
2020-03-05,10.29,,,15.137
2020-03-06,10.0,,,14.681
2020-03-09,10.03,,,14.12
2020-03-10,9.693,,,14.503
2020-03-11,10.5,,,14.616
2020-03-12,10.37,,,14.095999999999998
2020-03-13,10.28,,,14.26
2020-03-16,9.708,,,13.884
2020-03-17,9.49,,,13.528
2020-03-18,9.27,,,13.155
2020-03-19,9.54,,,13.208
2020-03-20,9.31,,,13.271
2020-03-23,8.911,,,13.037
2020-03-24,8.98,,,13.332
2020-03-25,8.86,,,13.44
2020-03-26,8.73,,,13.423
2020-03-27,8.36,,,13.097
2020-03-30,8.03,8.03,12.882,
2020-03-31,8.11,,13.018,
2020-04-01,8.03,,13.029000000000002,
2020-04-02,8.171,,13.298,
2020-04-03,8.186,,13.47,
2020-04-06,8.55,,14.056,
2020-04-07,8.558,,14.06,
2020-04-08,8.51,,13.911,
2020-04-09,8.53,,14.037,
2020-04-14,8.14,,13.785,
2020-04-15,7.94,,13.488,
2020-04-16,8.16,,13.856,
2020-04-17,8.29,,14.225999999999999,
2020-04-20,7.89,,14.062999999999999,
2020-04-21,7.54,,13.693,
2020-04-22,7.46,,13.537,
2020-04-23,7.25,,13.372,
2020-04-24,6.96,,13.232000000000001,
2020-04-27,7.11,,13.161,
2020-04-28,7.35,,13.052999999999999,
