Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2,Calendar+3,Calendar+4
2020-02-17,9.303,9.736,10.063,10.274,10.409,10.024,10.601,14.295,15.788,10.314,15.033,14.693,17.365,15.521,17.087,17.351,17.08
2020-02-18,9.375,9.739,10.074,10.221,10.313,10.012,10.519,14.146,15.582,10.267,14.856,14.472,17.045,15.265999999999998,16.81,17.160999999999998,16.855999999999998
2020-02-19,9.552,9.671,9.934,10.085,10.185,9.897,10.404000000000002,13.896,15.329,10.152,14.603,14.286,16.835,15.067,16.658,17.06,16.796
2020-02-20,9.574,9.727,9.845,9.997,10.056,9.856,10.264,13.678,15.181,10.061,14.421,14.124,16.682000000000002,14.923,16.430999999999994,16.85,16.65
2020-02-21,9.423,9.471,9.687,9.849,9.788,9.669,10.105,13.529000000000002,14.949000000000002,9.892,14.231,13.873,16.43,14.666,16.248,16.678,16.445999999999998
2020-02-24,9.036,9.064,9.247,9.299,9.413,9.204,9.621,13.003,14.389,9.414,13.688,13.37,16.017,14.153,15.863,16.375,16.1
2020-02-25,9.014,8.94,9.096,9.213,9.25,9.083,9.475,12.859000000000002,14.269,9.28,13.556,13.292,15.962,14.083,15.825,16.35,16.05
2020-02-26,9.104,9.047,9.154,9.259,9.354,9.153,9.56,12.94,14.281,9.358,13.603,13.376,16.046,14.137,15.854,16.45,16.177
2020-02-27,8.88,8.823,8.927999999999997,8.949,8.97,8.9,9.274,12.619000000000002,13.928,9.084,13.265999999999998,13.005,15.723,13.792,15.481,16.191,15.95
2020-02-28,8.876,8.966000000000003,9.01,9.052,9.215,8.951,9.301,12.623,13.982,9.127,13.294,13.065,15.702,13.844,15.475,16.2,16.0
2020-03-02,8.878,8.984,9.066,9.114,9.274,8.976,9.371,12.763,14.036,9.175,13.392,13.081,15.702,13.871,15.485,16.192,15.913
2020-03-03,9.141,9.261,9.343,9.345,9.595,9.248,9.621,13.073,14.576,9.436,13.816,13.527,16.192,14.337,15.884,16.559,16.32
2020-03-04,8.935,8.986,9.092,9.264,9.335,9.004,9.478,13.052,14.509,9.242,13.772,13.476,16.226,14.294,16.002,16.708,16.305
2020-03-05,8.881,9.021,9.115,9.147,9.401,9.006,9.482,12.880999999999998,14.358,9.245,13.612,13.359000000000002,16.061,14.178,15.901,16.586,16.3
2020-03-06,8.646,8.863999999999997,8.885,8.934,9.2,8.795,9.237,12.636,13.902,9.02,13.262,12.906,15.59,13.702,15.438,16.275,15.991
