Trading Day,Month+1,Month+2,Month+3,Quarter+1,Quarter+2,Season+1,Calendar+1
2020-02-17,9.19,,,,,,15.526
2020-02-18,9.25,,,,,,15.270999999999999
2020-02-19,9.41,,,,,,15.072000000000001
2020-02-20,9.44,,,,,,14.927999999999999
2020-02-21,9.25,,,,,,14.671
2020-02-24,8.9,,,,,,14.158
2020-02-25,8.84,,,,,,14.088
2020-02-26,9.0,,,,,,14.142000000000001
2020-02-27,8.8,,,,,,13.797
2020-02-28,9.1,,,,,,13.849
2020-03-02,9.12,,,,,,13.876
2020-03-03,9.4,,,,,,14.342
2020-03-04,9.14,,,,,,14.299000000000001
2020-03-05,9.1,,,,,,14.183
2020-03-06,8.81,,,,,,13.707
2020-03-09,8.84,,,,,,13.091
2020-03-10,9.2,,,,,,13.415999999999999
2020-03-11,9.55,,,,,,13.404000000000002
2020-03-12,9.49,,,,,,12.923
2020-03-13,9.5,,,,,,13.062999999999999
2020-03-16,8.927999999999999,,,,,,12.729000000000001
2020-03-17,8.67,,,,,,12.478
2020-03-18,8.48,,,,,,12.08
2020-03-19,8.74,,,,,,12.091
2020-03-20,8.51,,,,,,12.182
2020-03-23,8.115,,,,,,11.984000000000002
2020-03-24,8.19,,,,,,12.33
2020-03-25,8.07,,,,,,12.48
2020-03-26,7.94,,,,,,12.44
2020-03-27,7.57,7.415,7.494,7.492000000000001,7.757000000000001,7.625,12.194
2020-03-30,6.7,6.631,6.934,7.444,,,11.966
2020-03-31,6.71,6.952999999999999,,7.5489999999999995,,,12.103
