Trading Day,Prediction Type,Price
2020-02-15,WE,9.616
2020-02-16,WE,9.616
2020-02-17,DA,9.611
2020-02-18,DA,9.937999999999999
2020-02-19,DA,10.421
2020-02-20,DA,10.370999999999999
2020-02-21,DA,10.385
2020-02-22,WE,10.052
2020-02-23,WE,10.052
2020-02-24,DA,10.157
2020-02-25,DA,9.917
2020-02-26,DA,9.902999999999999
2020-02-27,DA,9.771
2020-02-28,DA,9.777999999999999
2020-02-29,WE,9.526
2020-03-02,DA,9.757
2020-03-03,DA,9.907
2020-03-04,DA,10.171
2020-03-05,DA,9.873
2020-03-06,DA,9.846
2020-03-07,WE,9.14
2020-03-08,WE,9.14
2020-03-09,DA,9.309
2020-03-10,DA,9.24
2020-03-11,DA,9.525
2020-03-12,DA,9.777000000000001
2020-03-13,DA,9.774
2020-03-14,WE,9.708
2020-03-15,WE,9.708
2020-03-16,DA,9.854
2020-03-17,DA,9.259
2020-03-18,DA,8.868
2020-03-19,DA,8.698
2020-03-20,DA,9.166
2020-03-21,WE,8.673
2020-03-22,WE,8.673
2020-03-23,DA,8.754
2020-03-24,DA,8.566
2020-03-25,DA,8.495
2020-03-26,DA,8.378
2020-03-27,DA,8.165
2020-03-28,WE,7.689
2020-03-29,WE,7.689
2020-03-30,DA,7.859
2020-03-31,DA,7.6579999999999995
2020-04-01,DA,7.976
2020-04-02,DA,7.623
2020-04-03,DA,7.641
2020-04-04,WE,7.345
2020-04-05,WE,7.345
2020-04-06,DA,7.101
2020-04-07,DA,7.341
2020-04-08,DA,7.794
2020-04-09,DA,7.613
2020-04-10,WE,7.45
2020-04-13,WE,7.45
2020-04-14,DA,7.545
2020-04-15,DA,7.504
2020-04-16,DA,7.112
2020-04-17,DA,7.229
2020-04-18,WE,6.962
2020-04-19,WE,6.962
2020-04-20,DA,6.949
2020-04-21,DA,6.752
2020-04-22,DA,6.469
2020-04-23,DA,6.545
2020-04-24,DA,6.101
2020-04-25,WE,5.88
2020-04-26,WE,5.88
2020-04-27,DA,5.947
2020-04-28,DA,6.293
