,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27
simulation n°0,3.5380000000000003,3.498716776809454,3.9797421023608854,3.397965656245503,4.18703393756597,4.210333109829239,4.4906185146439626,4.130148564034543,3.9177239503288392,3.562373128736151,3.7037497874242518,3.615573369522244,3.324907686528351,4.301472811191578,4.3465326085638605,4.759469025730434,4.313062890174175,4.642169919348997,4.352814250588988,4.750379344956386,5.068075740453457,4.224572507721337,4.060886648675644,3.887473297256451,3.7218889419559984,3.0881325521434784,3.161619573929377,3.07007120455992,2.9263204043856965,3.32028304417483,3.0317189707238805,3.2000031044185926,3.5107064510510737,3.306889141725434,2.4415596042930616,2.3010858773030596,2.546963453574551,2.5986390708800657,3.103050452478411,3.3282633572134057,3.0310714456114254,2.3025489904024417,3.146732138544361,3.7914426971008584,3.550948995975593,4.148596419299123,4.177510585601986,4.07178406038395,3.4372803353477597,3.4397555075724893,3.3523229140360344,3.0407846887781043,3.429297572344749,3.2021549969046226,3.867236856996083,4.145323639653415,4.4269358869359055,4.798385664428424,5.656089401282301,6.063284227758645,6.504261010770665,6.8080940258949,6.565693142220838,6.390667323855447,6.326768983832837,6.400493081855164,6.713675133408179,7.124198713726658,7.243202548917294,7.356846580459324,7.000633656484283,6.838224892291215,7.074104692616862,6.035608516622797,6.637057832177225,6.8049872628679715,6.642745180879986,6.532797194152592,6.400416550137575,6.978144920486535,6.925004662320045,8.410016249465222,8.735661684337312,8.810060997313247,8.81044842737137,8.417624951630257,8.247907822597718,8.241809157824337,8.30896897154941,8.246426108786997,8.61510758038169,8.658710387848707
simulation n°1,3.5380000000000003,3.42327548904242,3.3616727156775705,4.239489223526244,5.051716487780456,5.790562667347752,5.567617279125072,5.2175024504710645,5.584030059902535,5.273815000516512,4.522407099100161,4.6271344690006675,4.886396900423549,6.11303818329472,6.590833607431391,6.495777633996224,5.79946043384195,6.019872657307111,5.471935981892365,4.462483468997516,5.039798004655232,4.984087038127927,5.2156081011447375,5.872568294159231,6.095268795012911,6.867437516429007,7.22855148136162,7.826249167886574,8.25153878477576,8.002611832899477,7.874667259786456,7.949098885550897,8.854028666160879,7.95239019153426,8.399746095676711,8.933024918245867,8.97216448221132,8.590922191997338,8.544074853151828,8.78840869514121,8.811875322140482,8.24632997026467,8.73433159200876,9.141131663143119,8.14751411380645,8.1733374499417,8.006261435534364,7.5209824005043755,7.093347975573044,6.264861583986232,6.811539659107317,6.688613897999917,6.49535753160054,6.692713923664961,7.067714564271674,7.806359084967436,7.870424860079607,7.489274286249693,7.544531416877752,7.336255955361717,7.345630269091144,6.568723800859809,6.7612680752121594,5.635506955686967,6.274026049890283,6.548529832417286,7.7864606980907425,8.326369761491028,8.213785890948326,7.624083287326036,7.262381761920345,7.3082188806649535,6.870079913021426,6.484117598398837,5.974732353837242,5.901582570832765,5.867392295456621,5.6409176687944775,6.087286103063028,6.260951456142619,5.987525964062781,5.682890093190515,5.934284889657885,6.6662205795483604,6.2379902134693594,6.202137987329886,6.44059059381372,5.496106466689758,5.6722186730156805,5.086843721555442,4.932210349330632,5.203884439942
simulation n°2,3.5380000000000003,4.364011081671009,4.687019638864986,4.6224415075169425,3.479622184991541,4.345213860202827,4.428076138073881,4.484906815259295,3.8215115228707996,4.107612123030569,4.352741547229033,4.013078620437361,4.461741890248753,5.3310078677037875,5.376384700934556,5.025744984347412,4.180121798875284,3.7221212997375064,3.8903049604690243,4.290698858830647,3.9954305332014637,3.124416413266734,3.204513703744887,3.6169082337937946,3.1764554771486444,3.540170235349038,3.90043327440901,3.8897231770143486,4.505346322332897,3.575602024186507,3.5223541257077353,3.6282844074917366,3.4290064158247815,2.8017067658057284,3.526758370926331,3.311437221526324,3.588601372558688,3.549154933701924,2.930554751005784,3.383211831218851,3.1432404598081662,3.280123820424049,2.842646597307826,2.8933688214209177,3.0633500963964617,3.6647519624367395,3.8573212121663927,3.4498006189003347,2.4684062801949924,2.4425299566000813,2.543501892095772,2.6708648069204353,2.549627915483503,2.632147871185092,3.168275322342297,3.370169957281408,2.958370348355751,3.8015629454802395,3.570607979227789,3.1093982871663144,2.950574440819889,2.7469222995895834,3.25355388882067,3.774510092005537,4.333795987822028,4.163910409710125,3.5125842010967885,3.281636900951982,2.9536336033416837,2.8262794985863744,3.3076282022557413,2.9411797147492904,3.9058150838015617,3.372338396520448,2.9993880363736105,2.648960661002034,2.0142921662468667,3.0741768816247754,3.0905837589728287,3.0156519662076455,2.4203604725671823,2.7572965155003333,2.8240638961568627,2.6286613125992506,2.621603300741062,2.8146597467947747,2.902220004768886,3.067090646704759,2.983589307206894,3.2371025061795793,3.293180659899193,3.3264652853549563
simulation n°3,3.5380000000000003,3.044215522505139,3.5771167405865363,4.178041068826838,4.065451238613957,4.738837570947542,4.992835401042919,5.920677015834216,5.625479209079936,5.4864405899536335,5.360339930820299,5.651018375705863,5.348616387182966,5.411899923663157,4.397281896622894,3.8619445272226107,3.247661125592029,2.790417264502296,3.3831095646768445,2.99587143057129,3.725990973755042,3.4750342604965114,4.17599225168852,4.2002378096309,3.5043745503256343,4.043587325138026,4.746188276334133,4.472376642894866,4.634406394957074,4.91009482599195,4.954983402784566,4.687488876110237,4.716907844254806,4.33999315116703,4.725200797977331,5.006019722719493,5.597290827211555,5.212552446521494,5.434137689472131,5.118167247415587,4.474432490329635,4.47672765659913,4.041168876554555,4.016851740241426,3.7292748536351317,4.428392417978035,4.31251761765475,4.218374858621209,4.2236120548882985,3.949884517949914,3.89995707022944,4.509660686208923,4.565237946359552,5.3149661721228,4.938932507766855,4.902105144112722,5.26483615818544,5.555181033100184,5.687452317999488,5.856997939785845,6.071455842646375,6.193013445243518,5.825023130720689,6.335680251444138,6.092335841897077,5.868343116146095,5.249757384846767,5.035458834310659,4.948792933619524,5.224088848665201,5.604290832470563,5.968707339153964,5.703747432787303,5.35616818514656,5.934975254570889,6.061201404044411,5.882994461146408,6.624257854715021,6.7202525317908135,6.93075742443239,6.437964564928522,6.782459425110096,6.303979226229045,6.025621622527316,6.0113949830884525,5.823723816644847,5.7792976279149455,5.959592619093714,6.934990749681951,6.794735869722997,6.473326020547084,6.776350556265216
simulation n°4,3.5380000000000003,3.390879095923276,3.4204938425590528,2.8277633619693905,3.3947659813399027,3.8863860802728984,4.179684482218121,3.8129254442007525,3.9873329998152385,3.7694489836099665,4.128436924346466,4.334061699912318,4.1649067278970335,4.915354445934324,4.410003715814138,3.6288767432082785,3.454014249845469,2.675816726409403,2.5773473058755982,2.819375881510963,3.01865708900773,2.971325642727121,3.1235686397066877,2.948835904269564,3.1965290313271364,2.5908284680970373,1.8309558731354172,1.8713432755902286,1.3878678042433361,0.9184040374808562,1.5145166092994335,1.8523248846047418,1.659974204048579,1.7441001057749674,1.909842554649242,2.555654124932123,2.2335275298165165,1.5785622430849016,1.4432086367728405,1.3754907733483819,1.3760276133467428,1.0475983109384948,1.4407908390388091,1.9358791037810632,1.3894888466352189,2.0290734122430516,1.8911876911511578,2.4915082814196525,2.1750141418724107,2.3372245294015817,2.7390449257207994,2.7181272703828627,3.2372501140208048,3.20664155412401,4.075645664485278,4.120561920165341,4.664802106713935,4.996586453120869,4.6907303767784185,5.746279572106722,6.614737931696008,6.507804774481367,6.767242763137024,6.440010963932146,6.296572911509143,6.286846882069447,6.072763542227446,6.259910549275488,7.072806624974745,6.426379426428966,7.2704337846843785,7.252932827483533,7.424479454984446,7.184850029541714,7.302405844620807,7.081587135762614,6.634857937845333,6.554323309601804,6.1545206562468335,6.318768575502486,6.379649610831654,6.026844098023812,5.860125482715455,6.105310446644874,6.1453180050328955,5.544365399887117,4.836204580083896,5.019436239453633,4.904415292571921,4.974045761341163,5.373957666058344,6.155517611202023
simulation n°5,3.5380000000000003,2.104378627669657,1.217505312651689,1.1965998962658346,1.2402837406886609,0.9287168590334326,0.7458889456339219,0.9495520367871153,0.2659457268047345,-0.169728012355635,-0.6149592299898886,-0.21390486657016278,0.43308072627672517,0.5236955715309615,0.15449303528590058,0.433152052382934,0.30195909730695214,0.47395158719018526,-0.09796284168621838,-0.2677547790361168,0.053140380011693134,0.24281531515711358,0.7808223854655179,0.38863817788707206,0.3529984982304554,0.1256680858654673,0.11804976635418132,1.0795567369162016,1.4515919138447346,1.1752438978394277,0.23110345019526235,-0.43670631525057535,-1.0481539166811094,-0.36548597932283566,0.45228485454632295,0.6413198787089789,1.3881599594178136,1.2743790842860276,1.302357049016669,1.3450875061436054,1.5660413934314814,1.3445447169036824,1.2505429671954404,0.7487494661064741,1.4493512957822017,1.0545345557350156,0.939762978674091,1.4849154837876144,1.4199455692182974,2.024392372835498,2.175734366208319,2.1439157763105223,2.669131457909299,2.4645867372869166,3.436412571077788,3.3231841157375936,3.1427682415472318,3.2232456151804985,2.9493684002816454,3.48420887261068,4.086016698500224,4.548047915492734,5.117272699983266,5.105374691454003,4.818718729528904,4.868789237679461,5.330553319374561,4.578167152164257,4.201526676137728,3.7173647713857814,3.754560444736229,4.334233637336232,4.562629944682593,4.4080937227649155,4.086876457005162,3.5567458121009197,3.225418639493875,3.765156338792135,4.6352607067953375,4.609819983835955,4.600349521223854,3.937986561609521,3.858565735641778,3.33740416102839,3.6864472318897947,3.209224244326943,3.7036381334231567,3.5865942847999226,4.3338262566992745,3.7566853994500784,3.6614916193672906,4.307065194883704
simulation n°6,3.5380000000000003,3.511071353529604,3.0203035003848613,2.7102154916105645,3.2234373232913685,3.2435100365689435,2.983855308242097,3.212736427705547,2.7903519610542262,2.3441395234415268,2.2386919255249147,2.31789843742916,2.885912435065073,2.547889766177331,3.021696986589146,3.2598839898357115,3.238728267786058,3.774614150530941,4.220467030497615,4.167364903684063,3.746453628980661,3.4181089071089406,4.26353494451398,3.5000908816987897,3.8586409787684732,4.261996382251186,4.160899262414853,3.2888332503063262,3.0671203403134006,2.860386239781314,3.050465850348809,2.2265828228888993,2.0846097707173463,2.387802478849842,1.929122856708676,1.8218591096049939,1.937591165122994,2.4404056240119125,3.2639138359198596,3.4520818566860343,3.49300819758128,3.6841715432397817,3.4275649645087656,3.350746028624062,2.762260405220431,2.68810491287943,3.65485009158616,3.8922033067261452,4.142359505723305,5.532390772749501,5.776702696065938,5.93830767467373,5.643168844856829,5.840685942244217,5.671916038353488,4.953312877406099,4.368429605450771,4.6474964979200495,4.536573540943457,4.308065664341586,4.015692843306747,4.55461558088942,4.4528081834158115,4.735971156132206,5.308345681891796,5.837291007796392,6.229066388499287,5.987434483772952,6.394512232030048,6.36491706179014,6.483505882421415,6.68495598188665,6.289037334494634,6.144186280028476,5.6164515447911745,5.790764863698654,5.366257576510249,5.745227705569661,6.022137446566707,5.714245196521737,5.877953079216715,4.597250034248378,5.031502993364697,5.406417699280059,5.208799563947511,5.635267828773887,5.366993083144257,5.2660239224317635,5.75130788210899,5.70557680196719,6.231673077848608,7.122779012495651
simulation n°7,3.5380000000000003,3.998177986183005,4.006427230009831,4.530807817864671,4.850505458980007,4.672255304820552,4.167627642052508,4.349754110496229,4.293089535859742,3.5276788749256753,3.176954063670201,3.468881003841772,2.217335716959661,2.6218323668699695,2.8395994117761294,2.4694107934042124,3.400355534597508,3.472117442778218,3.7410475369343144,3.23740733710531,3.142856518121973,2.616563781317055,2.059466831699093,2.4976011869078807,2.749642025086612,2.6912901775522484,3.002368847233521,2.978170610837225,2.6517884189307397,2.9506311296431558,3.232312377646125,2.7500576244003176,2.9642306203068265,3.0782940812676696,2.83697529365716,2.766010722347043,2.7721986477179072,3.039121515799238,3.3833080023672504,2.7949362908043507,2.789904253993501,2.5706339785287096,3.017484853955022,3.2677839124970856,2.403836094219219,3.2530568065178866,3.33611975573757,4.243734306665542,3.8935374014882713,3.657423999328059,3.594201540018359,3.58352924054885,3.4620901955848784,3.437982340977822,3.818477947766587,4.353157633225714,4.399304272045047,4.3145701073587,3.5868921762675035,3.8537180430056797,3.964115033403812,4.214095545107676,4.744074209088998,4.338852221493758,3.893528367251521,4.134304483610116,4.7908150662847575,4.288049261869204,4.206589770427066,4.774391928853083,5.435562039044362,5.627268611291447,5.438861421995272,5.052499891441925,5.252391944508913,4.772515689411721,5.159254969601229,5.065028046641794,4.951763126358828,4.922677029375563,6.279502639856381,6.3452724228748725,5.3136292721233165,4.722059179761011,5.612260796072071,5.57829955401052,5.389698254490483,5.44986220205715,5.760009406604405,5.7566602230725055,5.915113448535669,6.476333480360395
simulation n°8,3.5380000000000003,3.2682124109261097,3.170722401850894,3.151303619953055,3.312038307638182,3.0738707741394196,3.4339247507573987,3.158229123985186,2.9846742871795797,2.556279827364131,2.311000356441049,2.0593936455691795,1.474508917237396,1.1740820279401945,1.4986753276409475,1.3466150693268881,1.6178695513708647,1.7148955436935729,1.7456112463807552,0.6481417659264674,0.10580767256956813,0.521385451022853,1.065908284824935,0.8090096272636272,0.9845839878902993,0.9083342476117171,0.38295806337990335,0.5988855482574602,0.7198640151398463,0.8870027702506551,0.9172644942189138,0.9964071867402454,0.9181773321905825,1.119766808890366,0.7706037452863536,0.35332854252337453,-0.04711855199271303,-0.28466519146171265,-0.5096983120450649,-0.9725935921149654,-1.138397700034231,-1.2338992806340139,-0.9829555993693443,-0.3440672984883649,0.30602592530028483,-0.06969185743655337,0.5084520901764111,1.4625177342332045,1.2837741842830106,1.6221683569269814,1.66790416782363,0.8931149261169663,0.5635391593612518,-0.15254225586694148,0.1481377162443125,-0.23585901734434944,-0.5349447215409482,-0.1406677020272198,-0.43454156241824515,-0.43347155586825425,-0.5695201700293945,-0.5665700647905503,-0.8872532156032895,-1.0184957641623364,-0.729419103861462,-0.4794314602452404,-1.1861670337719645,-1.317573014862066,-1.2974323435765363,-1.9491521445046953,-2.4178296012885263,-1.9184428621427334,-1.4957487612727072,-1.668301164028645,-1.08293818105069,-1.33644298398816,-1.0940313912778956,-1.4069986745136032,-1.3421963544037956,-1.0642785280167435,-2.1377177474225495,-2.6007755375901804,-3.097280802847089,-2.9266948561836155,-2.2232741264824214,-1.6666948503202432,-1.3836543180753096,-1.5290566317032348,-1.972990971778406,-2.0289825166741906,-1.954346060343997,-1.9462697366902466
simulation n°9,3.5380000000000003,3.536129242252384,3.4535855140869787,4.5497678669670645,4.633318942326406,5.119946091875199,5.050373549736751,5.107131914663825,4.682835580878594,4.397904080713078,4.746033608424186,4.371209559362728,4.366896754983108,4.06724880753436,4.190638425452635,4.17432364679862,4.783082200974222,5.28132498186575,5.998141826954381,6.79559429559052,6.34822706527835,6.729132269474761,6.4390621333454945,6.5932191532051085,6.317828127393394,6.640719043417297,6.2491652830356434,5.599061868190063,5.472984252453356,4.8854978165331095,4.471035640746256,4.863578607599211,5.308486315166008,4.782828842698334,4.4913760800118485,2.9352503311266815,3.1579049788632694,3.066173952955745,3.346450541479156,2.766718690069012,2.310848569490868,1.5246265292033172,0.5982820671335944,0.7097963380798624,1.2175145254578963,1.0849685221273815,0.8695749346445225,-0.46385275190557196,-1.32458885552182,-1.1658204033452275,-1.7937958679766364,-1.6815268092245663,-1.0952564870345123,-1.2093403939950735,-1.787324739326348,-1.5800170859585365,-1.6909315846176827,-1.4758204019427943,-1.2688347067595918,-1.0234837384469642,-1.1889533785652007,-0.7705199478583639,-0.30775404681950824,0.709869717844145,0.751530876925476,1.279820060048733,0.8510173502977387,0.33154778017237896,0.39025077053265883,0.11310173160805975,0.9465778750042153,1.115580008399044,1.886332469192349,1.857640198072916,1.7830679675831738,1.8608996023799353,1.7916631315180649,1.2295343895190947,1.3896977653399023,-0.21676964042408753,-0.5711060083034463,-1.2385466568908736,-1.4282021343256548,-1.336751414540007,-0.635853335631749,-0.3304532217770163,-0.29662715346200164,0.28947638501463924,0.12610082462613603,0.6736006332206972,0.8666215176426835,1.5487987712793903
