Trading Day,Prediction Type,Price
2020-03-14,WE,9.856
2020-03-15,WE,9.856
2020-03-16,DA,9.883
2020-03-17,DA,9.198
2020-03-18,DA,8.969
2020-03-19,DA,8.985
2020-03-20,DA,9.209
2020-03-21,WE,9.2
2020-03-22,WE,9.2
2020-03-23,DA,9.35
2020-03-24,DA,8.7
2020-03-25,DA,8.82
2020-03-26,DA,8.43
2020-03-27,DA,8.125
2020-03-28,WE,7.7
2020-03-29,WE,7.7
2020-03-30,DA,7.95
2020-03-31,DA,7.85
2020-04-01,DA,8.131
2020-04-02,DA,7.824
2020-04-03,DA,7.843
2020-04-04,WE,7.9
2020-04-05,WE,7.9
2020-04-06,DA,7.686
2020-04-07,DA,8.0
2020-04-08,DA,8.35
2020-04-09,DA,8.1
2020-04-10,WE,7.95
2020-04-13,WE,7.95
2020-04-14,DA,8.1
2020-04-15,DA,8.05
2020-04-16,DA,7.6
2020-04-17,DA,7.609
2020-04-18,WE,7.3
2020-04-19,WE,7.3
2020-04-20,DA,7.42
2020-04-21,DA,7.457
2020-04-22,DA,7.08
2020-04-23,DA,6.72
2020-04-24,DA,6.72
2020-04-25,WE,6.55
2020-04-26,WE,6.55
2020-04-27,DA,6.561
2020-04-28,DA,6.84
