Trading Day,Prediction Type,Price
2020-03-14,WE,9.232
2020-03-15,WE,9.232
2020-03-16,DA,9.258
2020-03-17,DA,8.693
2020-03-18,DA,8.406
2020-03-19,DA,8.189
2020-03-20,DA,8.422
2020-03-21,WE,8.13
2020-03-22,WE,8.13
2020-03-23,DA,8.161
2020-03-24,DA,7.795
2020-03-25,DA,7.869
2020-03-26,DA,7.734
2020-03-27,DA,7.564
2020-03-28,WE,7.301
2020-03-29,WE,7.301
2020-03-30,DA,7.288
2020-03-31,DA,7.094
2020-04-01,DA,7.178
2020-04-02,DA,7.09
2020-04-03,DA,7.157
2020-04-04,WE,7.123
2020-04-05,WE,7.123
2020-04-06,DA,7.138
2020-04-07,DA,7.332
2020-04-08,DA,7.369
2020-04-09,DA,7.242
2020-04-10,WE,6.813
2020-04-13,WE,6.813
2020-04-14,DA,7.017
2020-04-15,DA,6.992
2020-04-16,DA,6.637
2020-04-17,DA,6.667
2020-04-18,WE,6.083
2020-04-19,WE,6.083
2020-04-20,DA,6.087
2020-04-21,DA,5.989
2020-04-22,DA,5.774
2020-04-23,DA,6.015
2020-04-24,DA,5.684
2020-04-25,WE,5.331
2020-04-26,WE,5.331
2020-04-27,DA,5.323
2020-04-28,DA,5.719
