Trading Day,Month+1,Month+2,Quarter+3,Quarter+4,Month+3,Month+4,Quarter+1,Quarter+2
2020-02-17,10.73,,,16.567,,,,
2020-02-18,10.79,,,16.361,,,,
2020-02-19,10.95,,,16.108,,,,
2020-02-20,10.98,,,15.96,,,,
2020-02-21,10.79,,,15.728,,,,
2020-02-24,10.44,,,15.168,,,,
2020-02-25,10.38,,,15.048,,,,
2020-02-26,10.54,,,15.06,,,,
2020-02-27,10.34,,,14.707,,,,
2020-02-28,10.28,,,14.761,,,,
2020-03-02,10.3,,,14.815,,,,
2020-03-03,10.59,,,15.355,,,,
2020-03-04,10.33,,,15.288,,,,
2020-03-05,10.29,,,15.137,,,,
2020-03-06,10.0,,,14.681,,,,
2020-03-09,10.03,,,14.12,,,,
2020-03-10,9.693,,,14.503,,,,
2020-03-11,10.5,,,14.616,,,,
2020-03-12,10.37,,,14.095999999999998,,,,
2020-03-13,10.28,,,14.26,,,,
2020-03-16,9.708,,,13.884,,,,
2020-03-17,9.49,,,13.528,,,,
2020-03-18,9.27,,,13.155,,,,
2020-03-19,9.54,,,13.208,,,,
2020-03-20,9.31,,,13.271,,,,
2020-03-23,8.911,,,13.037,,,,
2020-03-24,8.98,,,13.332,,,,
2020-03-25,8.86,,,13.44,,,,
2020-03-26,8.73,,,13.423,,,,
2020-03-27,8.36,,,13.097,,,,
2020-03-30,8.03,8.03,12.882,,,,,
2020-03-31,8.11,,13.018,,,,,
2020-04-01,8.03,,13.029000000000002,,,,,
2020-04-02,8.171,,13.298,,,,,
2020-04-03,8.186,,13.47,,,,,
2020-04-06,8.55,,14.056,,,,,
2020-04-07,8.558,,14.06,,,,,
2020-04-08,8.51,,13.911,,,,,
2020-04-09,8.53,,14.037,,,,,
2020-04-14,8.14,,13.785,,,,,
2020-04-15,7.94,,13.488,,,,,
2020-04-16,8.16,,13.856,,,,,
2020-04-17,8.29,,14.225999999999999,,,,,
2020-04-20,7.89,,14.062999999999999,,,,,
2020-04-21,7.54,,13.693,,,,,
2020-04-22,7.46,,13.537,,,,,
2020-04-23,7.25,,13.372,,,,,
2020-04-24,6.96,,13.232000000000001,,,,,
2020-04-27,7.11,,13.161,,,,,
2020-04-28,7.35,,13.052999999999999,,,,,
2020-04-29,6.85,6.816,12.885,11.9,6.952000000000001,7.314,7.337999999999999,11.26
2020-04-30,6.8,7.0,12.875,11.9,7.4,,7.35,11.3
2020-05-04,6.2879999999999985,6.465,12.607,11.85,6.85,,6.835,11.164
2020-05-05,6.1389999999999985,6.401,12.685,11.939,6.875,,6.783,11.231
2020-05-06,6.295,6.5,12.761,11.825,6.975,,6.9,11.286
2020-05-07,6.371,6.566,12.965,12.025,6.975,,6.9670000000000005,11.44
2020-05-08,6.355,6.5520000000000005,12.929,12.079,6.962999999999999,,6.954,11.618
2020-05-11,6.224,6.4289999999999985,13.052,12.15,6.95,,6.87,11.515999999999998
2020-05-12,5.846,6.005,12.818,11.855,6.55,,6.457999999999998,11.193
2020-05-13,5.75,5.875,12.986,11.725,6.4,,6.375,10.744000000000002
2020-05-14,5.792999999999998,5.955,12.988,11.85,6.375,,6.419,10.985
2020-05-15,5.746,5.857,12.989,12.15,6.3,,6.35,11.065
2020-05-18,5.475,5.575,13.05,12.2,6.025,,6.075,10.975
2020-05-19,5.15,5.341,12.949000000000002,12.25,5.875,,5.85,10.924
2020-05-20,4.941,5.198,12.899,12.35,5.875,,5.699,10.924
2020-05-21,4.282,4.529,12.398,12.0,5.2,,5.083,10.323
2020-05-22,4.05,4.35,12.175,11.725,5.0,,4.9,10.05
2020-05-25,5.15,5.5,12.575,11.95,6.0,,6.075,10.55
2020-05-26,4.625,5.1,12.475,11.875,5.6,,5.65,10.5
2020-05-27,4.016,4.353,12.209,11.675,4.827,5.973,5.041,10.184
2020-05-28,3.9,4.29,12.025,11.5,4.797,5.79,4.95,10.05
2020-05-29,4.6389999999999985,5.154,12.105,11.66,5.707000000000002,,5.1610000000000005,10.23
2020-06-01,4.32,4.822,11.904000000000002,11.331,5.558,,4.893,9.979
2020-06-02,5.144,5.547999999999999,12.213,11.625,5.96,,5.546,10.388
2020-06-03,5.718,5.769,12.283,11.656,6.4929999999999986,,5.988,10.458
2020-06-04,5.7,6.0,12.275,11.75,6.475,,6.05,10.55
2020-06-05,6.025,6.275,12.9,12.164,6.6,,6.3,10.975
2020-06-08,5.38,5.604,12.48,12.121,6.675,,5.877999999999999,10.655
2020-06-09,5.05,5.5,12.3,11.9,6.125,,5.55,10.425
2020-06-10,5.155,5.466,12.042,11.953,6.025,,5.544,10.217
2020-06-11,5.319,5.518,12.047,11.788,6.126,,5.649,10.111
2020-06-12,6.32,,12.626,,,,,
2020-06-15,6.54,,12.519,,,,,
2020-06-16,6.26,,12.687999999999999,,,,,
2020-06-17,6.17,,12.729000000000001,,,,,
2020-06-18,6.48,,13.034,,,,,
2020-06-19,6.61,,13.193,,,,,
