Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2,Calendar+3,Calendar+4
2020-02-17,9.8,10.344,10.695,10.834,,10.625,11.007,14.671,16.355999999999998,10.817,15.504,15.236,17.924,16.015,17.562,17.817999999999994,18.272
2020-02-18,9.853,10.326,10.59,10.749,,10.555,10.899,14.621,16.012999999999998,10.728,15.309,14.965,17.609,15.761,17.352999999999998,17.730999999999995,18.012999999999995
2020-02-19,10.117,10.299,10.547,10.601,,10.483,10.771,14.394,15.808,10.628,15.093,14.84,17.384,15.589,17.195,17.616,17.901
2020-02-20,10.136,10.339,10.384,10.475,,10.399,10.673,14.228,15.581,10.537,14.897,14.613,17.229,15.404000000000002,16.967,17.42,17.747
2020-02-21,9.925,10.094,10.255,10.36,,10.237,10.509,14.193,15.338,10.374,14.759,14.352,17.000999999999998,15.144,16.803,17.248,17.524
2020-02-24,9.564,9.592,9.725,9.727,,9.682,9.975,13.559,14.838,9.829,14.191,13.92,16.541,14.672,16.326,16.94,17.1
2020-02-25,9.609,9.549,9.629,9.676,,9.618,9.846,13.438,14.739,9.733,14.081,13.832,16.5,14.57,16.32,16.875,17.105999999999998
2020-02-26,9.778,9.675,9.697,9.752,,9.708,9.913,13.408,14.788,9.811,14.09,13.928,16.587,14.644,16.386,16.975,17.232
2020-02-27,9.51,9.445,9.477,9.427,,9.45,9.634,13.194,14.313,9.543,13.747,13.464,16.273,14.28,15.957,16.715999999999998,16.936
2020-02-28,9.472,9.492,9.503,9.502,,9.489,9.664,13.157,14.438,9.577,13.79,13.59,16.259,14.325,15.95,16.725,17.023
2020-03-02,9.427,9.526,9.568,9.59,,9.507,9.75,13.2,14.529000000000002,9.629,13.857,13.642,16.249000000000002,14.392,15.951,16.717,16.971
2020-03-03,9.73,9.838,9.835,9.814,,9.801,9.98,13.529000000000002,15.085,9.891,14.298,14.118,16.726,14.796,16.336,17.084,17.367
2020-03-04,9.423,9.566,9.555,9.715,,9.515,9.872,13.707,14.86,9.694,14.277,13.954,16.779,14.769,16.491,17.233,17.322
2020-03-05,9.451,9.58,9.557,9.536,,9.53,9.837,13.678,14.635,9.684,14.151,13.697,16.625,14.664,16.408,17.111,17.3
2020-03-06,9.117,9.315,9.286,9.33,,9.236,9.467,13.267,14.179,9.352,13.718,13.277,16.146,14.19,15.868,16.809,16.912
2020-03-09,9.147,9.263,9.259,9.267,,9.223,9.369,12.978,13.522,9.296,13.247,12.503,15.38,13.604,15.17,16.125999999999998,16.419
2020-03-10,9.512,9.459,9.594,9.597,,9.521,9.689,13.034,14.187,9.605,13.604,13.134,15.605,13.908,15.464,16.340999999999998,16.682000000000002
