Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2
2020-02-17,9.91,9.946,10.333,11.029000000000002,,10.435,11.046,15.995,15.84,10.742,15.918,15.877,20.108,17.067999999999998,18.717
2020-02-18,9.972,9.868,10.282,10.886,,10.349,10.905,15.796,15.595,10.629,15.697,15.632,19.731,16.773,18.511
2020-02-19,10.129,9.81,10.146,10.755999999999998,,10.236,10.751,15.547,15.321,10.495,15.435,15.451,19.437,16.592,18.276
2020-02-20,10.156,9.942,10.163,10.743,,10.281,10.767,15.377,15.169,10.525,15.274,15.22,19.352,16.465999999999998,18.097
2020-02-21,9.973,9.571,9.931,10.629,,10.042,10.586,15.286,15.015,10.315,15.152,15.063,19.03,16.175,17.839000000000006
2020-02-24,9.62,9.194,9.476,9.94,,9.536,9.999,14.671,14.384,9.769,14.529000000000002,14.563,18.637,15.661,17.48
2020-02-25,9.56,9.073,9.339,9.875,,9.424,9.947,14.591,14.299,9.687,14.447,14.435,18.52,15.57,17.497
2020-02-26,9.723,9.236,9.504,10.044,,9.594,10.074,14.664,14.35,9.835,14.509,14.588,18.728,15.651,17.477
2020-02-27,9.52,9.0,9.223,9.645,,9.289,9.762,14.306,13.949000000000002,9.527,14.129,14.268,18.273,15.278,17.112000000000002
2020-02-28,9.111,9.316,9.784,9.899,,9.403,9.899,14.42,14.121,9.652,14.272,14.328,18.344,15.345999999999998,17.13
2020-03-02,9.068,9.3,9.845,9.909,,9.403,9.909,14.494000000000002,14.134,9.657,14.316,14.345999999999998,18.325,15.401,17.160999999999998
2020-03-03,9.435,9.657,10.167,10.18,,9.752,10.238,14.868,14.623,9.996,14.747,14.776,18.853,15.831,17.529
2020-03-04,9.093,9.382,9.943,10.113,,9.472,10.0,14.763,14.529000000000002,9.737,14.647,14.672,18.782,15.749,17.609
2020-03-05,9.063,9.333,9.867,9.944,,9.42,10.0,14.716,14.498,9.712,14.608,14.502,18.651,15.668,17.458
2020-03-06,8.805,9.202,9.665,9.752,,9.224,9.745,14.322,14.008,9.486,14.167,14.086,18.142,15.147,16.977999999999998
2020-03-09,8.838,9.158,9.661,9.734,,9.218,9.632,13.827,13.449000000000002,9.426,13.64,13.488,17.514,14.576,16.298
2020-03-10,9.181,9.426,9.956,10.03,,9.52,9.937,14.151,13.9,9.73,14.027,13.763,17.684,14.85,16.417
2020-03-11,9.607,9.734,10.319,10.427,,9.885,10.16,14.178,13.809,10.023,13.996,13.734000000000002,17.505,14.871,16.262
2020-03-12,9.491,9.677,10.159,10.294,,9.775,10.112,13.873,13.454,9.944,13.666,13.244000000000002,17.09,14.392,15.944
2020-03-13,9.483,9.559,10.037,10.242,,9.692,10.04,13.871,13.515,9.867,13.695,13.347,17.088,14.499,15.997
2020-03-16,8.982999999999997,9.059,9.537,9.756,,9.192,9.558,13.139,13.139,9.378,13.139,13.049,16.769000000000002,14.165,15.675
