Trading Day,Month+1,Month+2,Month+3,Month+4,Month+5,Quarter+1,Quarter+2,Quarter+3,Quarter+4,Season+1,Season+2,Season+3,Season+4,Calendar+1,Calendar+2,Calendar+3,Calendar+4
2020-03-16,8.741,8.734,8.826,8.857000000000003,8.907,8.767000000000001,9.055,11.893,13.105,8.914,12.492,11.997,14.223,12.724,14.048,14.987,14.82
2020-03-17,8.482000000000001,8.499,8.582,8.622,8.658,8.519,8.801,11.515,12.749,8.661,12.125,11.771,14.036,12.473,13.856,14.737,14.68
2020-03-18,8.257,8.312000000000001,8.395,8.47,8.507,8.321,8.651,11.216,12.376,8.487,11.79,11.369000000000002,13.625,12.075,13.464,14.29,14.21
2020-03-19,8.559,8.543,8.645,8.699,8.724,8.583,8.859,11.276,12.429,8.722000000000001,11.845999999999998,11.353,13.668,12.086,13.479,14.35,14.28
2020-03-20,8.306000000000001,8.286,8.412,8.512,8.515,8.334,8.661,11.238,12.492,8.498,11.858,11.423,13.882,12.177,13.653,14.574000000000002,14.58
2020-03-23,7.831,7.848,8.047,8.04,8.127,7.907999999999999,8.241,10.917,12.258,8.075,11.58,11.205,13.657,11.979,13.54,14.494000000000002,14.5
2020-03-24,7.91,7.91,8.121,8.126,8.274,7.98,8.369,11.195,12.553,8.176,11.866,11.547,14.107,12.325,13.953,14.84,14.8
2020-03-25,7.737,7.765,7.962999999999999,8.082,8.156,7.822999999999999,8.282,11.351,12.661,8.054,11.999,11.702,14.23,12.475,14.174,15.076,15.05
2020-03-26,7.591,7.6110000000000015,7.854,7.968,8.088,7.685,8.205,11.268,12.644,7.9460000000000015,11.948,11.62,14.255,12.435,14.189,15.048,14.986
2020-03-27,7.22,7.24,7.499,7.574,7.729,7.317,7.84,10.983,12.318,7.58,11.643,11.368,14.031,12.189,13.934,14.922,14.901
2020-03-30,6.89,6.8660000000000005,7.169,7.307,7.426,7.527,10.66,12.103,11.178,11.373,11.145,13.817,13.062,11.961,13.767,14.889,14.92
2020-03-31,6.902,7.188,7.362,7.513,8.035,7.6320000000000014,10.865,12.239,11.296,11.543,11.286,14.015,13.111,12.098,13.914,15.014,15.0
2020-04-01,6.8210000000000015,7.08,7.284,7.474,7.968,7.572,10.845999999999998,12.25,11.264,11.54,11.245,13.995,13.088,12.069,13.884,15.0,14.938
2020-04-02,6.97,7.204,7.434,7.6179999999999986,8.174,7.737,11.127,12.519,11.61,11.815,11.581,14.216,13.238,12.366,14.167,15.055,14.95
2020-04-03,6.932,7.199,7.4689999999999985,7.675,8.152000000000001,7.761,11.223,12.691,11.689,11.948,11.672,14.363,13.366,12.502,14.165,15.16,15.064
2020-04-06,7.282999999999999,7.5710000000000015,7.851,8.142999999999999,8.652999999999999,8.211,11.720999999999998,13.277,12.286,12.49,12.234000000000002,14.795,13.708,13.04,14.532,15.558,15.438
2020-04-07,7.291,7.615,7.8610000000000015,8.184,8.693,8.241,11.808,13.281,12.273,12.536,12.242,14.867,13.778,13.049,14.695,15.716,15.71
2020-04-08,7.302,7.591,7.801,8.082,8.612,8.16,11.702,13.132,12.130999999999998,12.409,12.087,14.754,13.675,12.909,14.552,15.678,15.604
