Trading Day,Prediction Type,Price
2020-02-15,WE,10.057
2020-02-16,WE,10.057
2020-02-17,DA,10.18
2020-02-18,DA,10.083
2020-02-19,DA,10.731
2020-02-20,DA,10.465
2020-02-21,DA,10.585
2020-02-22,WE,10.3
2020-02-23,WE,10.3
2020-02-24,DA,10.25
2020-02-25,DA,9.982000000000001
2020-02-26,DA,9.82
2020-02-27,DA,9.794
2020-02-28,DA,9.879
2020-02-29,WE,9.836
2020-03-02,DA,10.06
2020-03-03,DA,10.25
2020-03-04,DA,10.4
2020-03-05,DA,10.05
2020-03-06,DA,9.95
2020-03-07,WE,9.2
2020-03-08,WE,9.2
2020-03-09,DA,9.5
2020-03-10,DA,9.5
2020-03-11,DA,9.6
2020-03-12,DA,9.975
2020-03-13,DA,10.124
2020-03-14,WE,9.856
2020-03-15,WE,9.856
2020-03-16,DA,9.883
2020-03-17,DA,9.198
2020-03-18,DA,8.969
2020-03-19,DA,8.985
2020-03-20,DA,9.209
2020-03-21,WE,9.2
2020-03-22,WE,9.2
2020-03-23,DA,9.35
2020-03-24,DA,8.7
2020-03-25,DA,8.82
2020-03-26,DA,8.43
2020-03-27,DA,8.125
2020-03-28,WE,7.7
2020-03-29,WE,7.7
2020-03-30,DA,7.95
2020-03-31,DA,7.85
2020-04-01,DA,8.131
2020-04-02,DA,7.824
2020-04-03,DA,7.843
2020-04-04,WE,7.9
2020-04-05,WE,7.9
2020-04-06,DA,7.686
2020-04-07,DA,8.0
2020-04-08,DA,8.35
2020-04-09,DA,8.1
2020-04-10,WE,7.95
2020-04-13,WE,7.95
2020-04-14,DA,8.1
2020-04-15,DA,8.05
2020-04-16,DA,7.6
2020-04-17,DA,7.609
2020-04-18,WE,7.3
2020-04-19,WE,7.3
2020-04-20,DA,7.42
2020-04-21,DA,7.457000000000002
2020-04-22,DA,7.08
2020-04-23,DA,6.72
2020-04-24,DA,6.72
2020-04-25,WE,6.55
2020-04-26,WE,6.55
2020-04-27,DA,6.561
2020-04-28,DA,6.84
2020-04-29,DA,6.81
2020-04-30,DA,6.67
2020-05-01,DA,6.7
2020-05-02,WE,6.6
2020-05-03,WE,6.6
2020-05-04,DA,6.7
2020-05-05,DA,6.608
2020-05-06,DA,6.5
2020-05-07,DA,6.575
2020-05-08,WE,6.475
2020-05-10,WE,6.475
2020-05-11,DA,6.457000000000001
2020-05-12,DA,6.606
2020-05-13,DA,6.17
2020-05-14,DA,6.15
2020-05-15,DA,6.0
2020-05-16,WE,5.88
2020-05-17,WE,5.88
2020-05-18,DA,5.85
2020-05-19,DA,5.63
2020-05-20,DA,5.175
2020-05-21,DA,4.9
2020-05-22,DA,3.775
2020-05-23,WE,4.55
2020-05-25,WE,4.55
2020-05-26,DA,4.53
2020-05-27,DA,5.175
2020-05-28,DA,4.45
2020-05-29,DA,4.325
2020-05-30,WE,4.4639999999999995
2020-05-31,WE,4.4639999999999995
2020-06-01,DA,4.211
2020-06-02,DA,4.13
2020-06-03,DA,5.0
2020-06-04,DA,5.55
2020-06-05,DA,5.2
2020-06-06,WE,5.928
2020-06-07,WE,5.928
2020-06-08,DA,5.92
2020-06-09,DA,5.78
2020-06-10,DA,5.0
2020-06-11,DA,4.97
