Trading Day,Prediction Type,Price
2020-02-15,WE,9.588
2020-02-16,WE,9.588
2020-02-17,DA,9.611
2020-02-18,DA,10.078
2020-02-19,DA,11.0
2020-02-20,DA,10.788
2020-02-21,DA,10.552999999999999
2020-02-22,WE,10.454
2020-02-23,WE,10.454
2020-02-24,DA,10.613
2020-02-25,DA,10.213
2020-02-26,DA,10.475
2020-02-27,DA,10.390999999999998
2020-02-28,DA,10.334000000000001
2020-02-29,WE,9.65
2020-03-02,DA,10.077
2020-03-03,DA,9.781
2020-03-04,DA,10.138
2020-03-05,DA,9.894
2020-03-06,DA,9.715
2020-03-07,WE,9.25
2020-03-08,WE,9.25
2020-03-09,DA,9.323
2020-03-10,DA,9.225
2020-03-11,DA,9.5
2020-03-12,DA,9.5
2020-03-13,DA,9.872
2020-03-14,WE,9.863999999999999
2020-03-15,WE,9.863999999999999
2020-03-16,DA,9.921
2020-03-17,DA,9.16
2020-03-18,DA,8.885
2020-03-19,DA,8.767999999999999
2020-03-20,DA,8.984
2020-03-21,WE,8.7
2020-03-22,WE,8.7
2020-03-23,DA,8.761000000000001
2020-03-24,DA,8.388
2020-03-25,DA,8.55
2020-03-26,DA,8.365
2020-03-27,DA,8.207
2020-03-28,WE,7.7920000000000025
2020-03-29,WE,7.7920000000000025
2020-03-30,DA,7.892
2020-03-31,DA,7.624
2020-04-01,DA,7.841
2020-04-02,DA,7.637
2020-04-03,DA,7.5870000000000015
2020-04-04,WE,7.463999999999999
2020-04-05,WE,7.463999999999999
2020-04-06,DA,7.4
2020-04-07,DA,7.638
2020-04-08,DA,8.075
2020-04-09,DA,7.625
2020-04-10,WE,7.6
2020-04-13,WE,7.6
2020-04-14,DA,7.813
2020-04-15,DA,7.5
2020-04-16,DA,7.449
2020-04-17,DA,7.525
2020-04-18,WE,7.647
2020-04-19,WE,7.647
2020-04-20,DA,7.55
2020-04-21,DA,7.425
2020-04-22,DA,6.959
2020-04-23,DA,7.0
2020-04-24,DA,6.688
2020-04-25,WE,6.622000000000001
2020-04-26,WE,6.622000000000001
2020-04-27,DA,6.85
2020-04-28,DA,6.5939999999999985
2020-04-29,DA,6.731
2020-04-30,DA,6.879
2020-05-01,DA,7.145
2020-05-02,WE,6.65
2020-05-03,WE,6.65
2020-05-04,DA,6.775
2020-05-05,DA,6.601
2020-05-06,DA,6.581
2020-05-07,DA,6.5
2020-05-08,WE,6.263
2020-05-10,WE,6.263
2020-05-11,DA,6.626
2020-05-12,DA,6.775
2020-05-13,DA,6.33
2020-05-14,DA,5.999
2020-05-15,DA,5.794
2020-05-16,WE,5.795
2020-05-17,WE,5.795
2020-05-18,DA,6.098
2020-05-19,DA,5.689
2020-05-20,DA,5.285
2020-05-21,DA,5.034
2020-05-22,DA,4.225
2020-05-23,WE,4.628
2020-05-25,WE,4.628
2020-05-26,DA,4.781000000000001
2020-05-27,DA,5.205
2020-05-28,DA,4.438
2020-05-29,DA,4.292
2020-05-30,WE,4.372
2020-05-31,WE,4.372
2020-06-01,DA,4.342
2020-06-02,DA,4.444
2020-06-03,DA,5.317
2020-06-04,DA,5.574
2020-06-05,DA,5.55
2020-06-06,WE,6.1
2020-06-07,WE,6.1
2020-06-08,DA,6.143
2020-06-09,DA,6.017
2020-06-10,DA,5.499
2020-06-11,DA,5.209
