Trading Day,Prediction Type,Price
2020-02-15,WE,9.616
2020-02-16,WE,9.616
2020-02-17,DA,9.611
2020-02-18,DA,9.937999999999999
2020-02-19,DA,10.421
2020-02-20,DA,10.370999999999999
2020-02-21,DA,10.385
2020-02-22,WE,10.052
2020-02-23,WE,10.052
2020-02-24,DA,10.157
2020-02-25,DA,9.917
2020-02-26,DA,9.902999999999999
2020-02-27,DA,9.771
2020-02-28,DA,9.777999999999999
2020-02-29,WE,9.526
2020-03-02,DA,9.757
2020-03-03,DA,9.907
2020-03-04,DA,10.171
2020-03-05,DA,9.873
2020-03-06,DA,9.846
2020-03-07,WE,9.14
2020-03-08,WE,9.14
2020-03-09,DA,9.309
2020-03-10,DA,9.24
2020-03-11,DA,9.525
2020-03-12,DA,9.777000000000001
2020-03-13,DA,9.774
2020-03-14,WE,9.708
2020-03-15,WE,9.708
2020-03-16,DA,9.854
2020-03-17,DA,9.259
2020-03-18,DA,8.868
2020-03-19,DA,8.698
2020-03-20,DA,9.166
2020-03-21,WE,8.673
2020-03-22,WE,8.673
2020-03-23,DA,8.754
2020-03-24,DA,8.566
2020-03-25,DA,8.495
2020-03-26,DA,8.378
2020-03-27,DA,8.165
2020-03-28,WE,7.689
2020-03-29,WE,7.689
2020-03-30,DA,7.859
2020-03-31,DA,7.657999999999999
2020-04-01,DA,7.976
2020-04-02,DA,7.622999999999998
2020-04-03,DA,7.641
2020-04-04,WE,7.345
2020-04-05,WE,7.345
2020-04-06,DA,7.101
2020-04-07,DA,7.341
2020-04-08,DA,7.794
2020-04-09,DA,7.612999999999999
2020-04-10,WE,7.45
2020-04-13,WE,7.45
2020-04-14,DA,7.545
2020-04-15,DA,7.504
2020-04-16,DA,7.112
2020-04-17,DA,7.229
2020-04-18,WE,6.9620000000000015
2020-04-19,WE,6.9620000000000015
2020-04-20,DA,6.949
2020-04-21,DA,6.752000000000002
2020-04-22,DA,6.4689999999999985
2020-04-23,DA,6.545
2020-04-24,DA,6.101
2020-04-25,WE,5.88
2020-04-26,WE,5.88
2020-04-27,DA,5.947
2020-04-28,DA,6.292999999999998
2020-04-29,DA,6.312
2020-04-30,DA,6.202999999999999
2020-05-01,DA,6.087000000000001
2020-05-02,WE,5.68
2020-05-03,WE,5.68
2020-05-04,DA,5.772
2020-05-05,DA,6.046
2020-05-06,DA,5.886
2020-05-07,DA,5.962000000000001
2020-05-08,WE,5.632000000000001
2020-05-10,WE,5.632000000000001
2020-05-11,DA,5.812
2020-05-12,DA,6.256
2020-05-13,DA,5.928
2020-05-14,DA,5.702999999999999
2020-05-15,DA,5.572
2020-05-16,WE,5.196000000000001
2020-05-17,WE,5.196000000000001
2020-05-18,DA,5.183
2020-05-19,DA,5.029
2020-05-20,DA,4.646
2020-05-21,DA,4.395
2020-05-22,DA,3.5660000000000003
2020-05-23,WE,4.039
2020-05-25,WE,4.039
2020-05-26,DA,4.2330000000000005
2020-05-27,DA,4.569
2020-05-28,DA,3.944
2020-05-29,DA,3.883
2020-05-30,WE,3.8539999999999996
2020-05-31,WE,3.8539999999999996
2020-06-01,DA,3.6010000000000004
2020-06-02,DA,3.6630000000000003
2020-06-03,DA,4.718
2020-06-04,DA,4.9319999999999995
2020-06-05,DA,4.762
2020-06-06,WE,5.36
2020-06-07,WE,5.36
2020-06-08,DA,5.417999999999999
2020-06-09,DA,5.313
2020-06-10,DA,4.717
2020-06-11,DA,4.68
