Trading Day,Prediction Type,Price
2020-02-15,WE,9.09
2020-02-16,WE,9.09
2020-02-17,DA,9.034
2020-02-18,DA,9.268
2020-02-19,DA,9.628
2020-02-20,DA,9.752
2020-02-21,DA,9.749
2020-02-22,WE,9.459
2020-02-23,WE,9.459
2020-02-24,DA,9.576
2020-02-25,DA,9.171
2020-02-26,DA,9.258
2020-02-27,DA,9.357
2020-02-28,DA,9.184
2020-02-29,WE,9.047
2020-03-02,DA,9.159
2020-03-03,DA,9.301
2020-03-04,DA,9.506
2020-03-05,DA,9.307
2020-03-06,DA,9.355
2020-03-07,WE,8.839
2020-03-08,WE,8.839
2020-03-09,DA,8.923
2020-03-10,DA,8.804
2020-03-11,DA,9.13
2020-03-12,DA,9.298
2020-03-13,DA,9.251
2020-03-14,WE,9.28
2020-03-15,WE,9.28
2020-03-16,DA,9.466
2020-03-17,DA,8.802999999999997
2020-03-18,DA,8.48
2020-03-19,DA,8.407
2020-03-20,DA,8.699
2020-03-21,WE,8.203
2020-03-22,WE,8.203
2020-03-23,DA,8.302999999999999
2020-03-24,DA,8.035
2020-03-25,DA,8.142000000000001
2020-03-26,DA,7.961
2020-03-27,DA,7.782
2020-03-28,WE,7.302
2020-03-29,WE,7.302
2020-03-30,DA,7.3439999999999985
2020-03-31,DA,7.147
2020-04-01,DA,7.15
2020-04-02,DA,7.0089999999999995
2020-04-03,DA,7.072
2020-04-04,WE,6.98
2020-04-05,WE,6.98
2020-04-06,DA,6.962999999999999
2020-04-07,DA,7.17
2020-04-08,DA,7.327999999999999
2020-04-09,DA,7.127000000000001
2020-04-10,WE,6.907
2020-04-13,WE,6.907
2020-04-14,DA,6.942
2020-04-15,DA,6.995
2020-04-16,DA,6.803
2020-04-17,DA,7.075
2020-04-18,WE,6.551
2020-04-19,WE,6.551
2020-04-20,DA,6.604
2020-04-21,DA,6.2589999999999995
2020-04-22,DA,5.846
2020-04-23,DA,6.016
2020-04-24,DA,5.792000000000001
2020-04-25,WE,5.521
2020-04-26,WE,5.521
2020-04-27,DA,5.54
2020-04-28,DA,5.926
2020-04-29,DA,6.026
2020-04-30,DA,5.678
2020-05-01,DA,5.565
2020-05-02,WE,5.143
2020-05-03,WE,5.143
2020-05-04,DA,5.141
2020-05-05,DA,5.465
2020-05-06,DA,5.351
2020-05-07,DA,5.424
2020-05-08,WE,5.189
2020-05-10,WE,5.189
2020-05-11,DA,5.289
2020-05-12,DA,5.756
2020-05-13,DA,5.334
2020-05-14,DA,5.051
2020-05-15,DA,4.998
2020-05-16,WE,4.603
2020-05-17,WE,4.603
2020-05-18,DA,4.72
2020-05-19,DA,4.564
2020-05-20,DA,4.259
2020-05-21,DA,3.954
2020-05-22,DA,3.019
2020-05-23,WE,3.743
2020-05-25,WE,3.743
2020-05-26,DA,3.912
2020-05-27,DA,4.058
2020-05-28,DA,3.561
2020-05-29,DA,3.425
2020-05-30,WE,3.404
2020-05-31,WE,3.404
2020-06-01,DA,3.519
2020-06-02,DA,3.578
2020-06-03,DA,4.504
2020-06-04,DA,4.876
2020-06-05,DA,4.616
2020-06-06,WE,4.91
2020-06-07,WE,4.91
2020-06-08,DA,5.038
2020-06-09,DA,4.9
2020-06-10,DA,4.766
2020-06-11,DA,4.631
