Trading Day,Prediction Type,Price
2020-02-15,WE,8.85
2020-02-16,WE,8.85
2020-02-17,DA,8.939
2020-02-18,DA,9.266
2020-02-19,DA,9.675
2020-02-20,DA,9.748
2020-02-21,DA,9.708
2020-02-22,WE,9.408
2020-02-23,WE,9.408
2020-02-24,DA,9.419
2020-02-25,DA,9.179
2020-02-26,DA,9.225
2020-02-27,DA,9.316
2020-02-28,DA,9.164
2020-02-29,WE,9.053
2020-03-02,DA,9.029
2020-03-03,DA,9.279
2020-03-04,DA,9.521
2020-03-05,DA,9.318
2020-03-06,DA,9.25
2020-03-07,WE,8.758
2020-03-08,WE,8.758
2020-03-09,DA,8.76
2020-03-10,DA,8.6
2020-03-11,DA,8.92
2020-03-12,DA,9.245
2020-03-13,DA,9.176
2020-03-14,WE,9.01
2020-03-15,WE,9.01
2020-03-16,DA,9.199
2020-03-17,DA,8.627
2020-03-18,DA,8.363999999999999
2020-03-19,DA,8.2
2020-03-20,DA,8.477
2020-03-21,WE,8.07
2020-03-22,WE,8.07
2020-03-23,DA,8.15
2020-03-24,DA,7.772
2020-03-25,DA,7.83
2020-03-26,DA,7.763
2020-03-27,DA,7.476
2020-03-28,WE,7.2120000000000015
2020-03-29,WE,7.2120000000000015
2020-03-30,DA,7.252999999999999
2020-03-31,DA,7.075
2020-04-01,DA,7.1
2020-04-02,DA,6.9
2020-04-03,DA,6.935
2020-04-04,WE,6.815
2020-04-05,WE,6.815
2020-04-06,DA,6.86
2020-04-07,DA,7.064
2020-04-08,DA,7.1979999999999995
2020-04-09,DA,7.081
2020-04-10,WE,6.678
2020-04-13,WE,6.678
2020-04-14,DA,6.843
2020-04-15,DA,6.944
2020-04-16,DA,6.64
2020-04-17,DA,6.712000000000001
2020-04-18,WE,6.1610000000000005
2020-04-19,WE,6.1610000000000005
2020-04-20,DA,6.145
2020-04-21,DA,5.888
2020-04-22,DA,5.577999999999999
2020-04-23,DA,5.765
2020-04-24,DA,5.394
2020-04-25,WE,5.162999999999999
2020-04-26,WE,5.162999999999999
2020-04-27,DA,5.206
2020-04-28,DA,5.6129999999999995
2020-04-29,DA,5.622
2020-04-30,DA,5.446
2020-05-01,DA,5.444
2020-05-02,WE,4.994
2020-05-03,WE,4.994
2020-05-04,DA,5.001
2020-05-05,DA,5.267
2020-05-06,DA,5.193
2020-05-07,DA,5.255
2020-05-08,WE,4.903
2020-05-10,WE,4.903
2020-05-11,DA,5.149
2020-05-12,DA,5.527
2020-05-13,DA,5.239
2020-05-14,DA,4.895
2020-05-15,DA,4.859
2020-05-16,WE,4.586
2020-05-17,WE,4.586
2020-05-18,DA,4.508
2020-05-19,DA,4.358
2020-05-20,DA,4.147
2020-05-21,DA,3.61
2020-05-22,DA,2.904
2020-05-23,WE,3.464
2020-05-25,WE,3.464
2020-05-26,DA,3.765
2020-05-27,DA,3.989
2020-05-28,DA,3.532
2020-05-29,DA,3.417
2020-05-30,WE,3.407
2020-05-31,WE,3.407
2020-06-01,DA,3.577
2020-06-02,DA,3.534
2020-06-03,DA,4.404
2020-06-04,DA,4.606
2020-06-05,DA,4.579
2020-06-06,WE,4.716
2020-06-07,WE,4.716
2020-06-08,DA,4.831
2020-06-09,DA,4.633
2020-06-10,DA,4.547
2020-06-11,DA,4.55
